# table of index definitions for "mindex" or "spindex"
#
##        Index band       blue continuum     red continuum Units name
01    4142.125 4177.125  4080.125 4117.625  4244.125 4284.125 1  CN_1   
02    4142.125 4177.125  4083.875 4096.375  4244.125 4284.125 1  CN_2   
03    4222.250 4234.750  4211.000 4219.750  4241.000 4251.000 0  Ca4227 
04    4281.375 4316.375  4266.375 4282.625  4318.875 4335.125 0  G4300  
05    4369.125 4420.375  4359.125 4370.375  4442.875 4455.375 0  Fe4383 
06    4452.125 4474.625  4445.875 4454.625  4477.125 4492.125 0  Ca4455 
07    4514.250 4559.250  4504.250 4514.250  4560.500 4579.250 0  Fe4531 
08    4634.000 4720.250  4611.500 4630.250  4742.750 4756.500 0  C2_4668 
09    4847.875 4876.625  4827.875 4847.875  4876.625 4891.625 0  H_beta 
10    4977.750 5054.000  4946.500 4977.750  5054.000 5065.250 0  Fe5015 
11    5069.125 5134.125  4895.125 4957.625  5301.125 5366.125 1  Mg_1   
12    5154.125 5196.625  4895.125 4957.625  5301.125 5366.125 1  Mg_2   
13    5160.125 5192.625  5142.625 5161.375  5191.375 5206.375 0  Mg_b   
14    5245.650 5285.650  5233.150 5248.150  5285.650 5318.150 0  Fe5270 
15    5312.125 5352.125  5304.625 5315.875  5353.375 5363.375 0  Fe5335 
16    5387.500 5415.000  5376.250 5387.500  5415.000 5425.000 0  Fe5406 
17    5696.625 5720.375  5672.875 5696.625  5722.875 5736.625 0  Fe5709 
18    5776.625 5796.625  5765.375 5775.375  5797.875 5811.625 0  Fe5782 
19    5876.875 5909.375  5860.625 5875.625  5922.125 5948.125 0  Na_D   
20    5936.625 5994.125  5816.625 5849.125  6038.625 6103.625 1  TiO_1  
21    6189.625 6272.125  6066.625 6141.625  6372.625 6415.125 1  TiO_2  
22    4083.500 4122.250  4041.600 4079.750  4128.500 4161.000 0  Hdelta_A 
23    4319.750 4363.500  4283.500 4319.750  4367.250 4419.750 0  Hgamma_A 
24    4091.000 4112.250  4057.250 4088.500  4114.750 4137.250 0  Hdelta_F 
25    4331.250 4352.250  4283.500 4319.750  4354.750 4384.750 0  Hgamma_F 
26    6548.0   6578.0    6420.0   6455.0    6600.0   6640.0   0  H_alpha 
27    4626.4   4743.3    4557.3   4589.5    4805.1   4835.3   0  CO4685  
28    5154.3   5167.3    5108.4   5138.8    5188.4   5202.0   0  CO5161  
29    3840.3   3883.4    3768.1   3812.3    3896.4   3916.2   0  CNO3862 
30    4129.4   4219.8    4082.5   4123.3    4243.3   4284.2   0  CNO4175 
31    8167.4   8212.5    8081.8   8137.2    8231.6   8289.7   0  Na8190  
32    3823.4   3847.6    3754.7   3782.0    3850.0   3865.0   0  Mg3835  
33    4760.8   4798.8    4738.9   4757.3    4819.8   4835.5   0  Mg4780  
34    3937.6   3967.4    3921.3   3935.5    3969.5   3987.0   0  Al3953  
35    4093.3   4107.8    4057.9   4075.3    4111.5   4131.0   0  Si4101  
36    4490.8   4534.6    4448.7   4487.6    4541.1   4572.7   0  Si4513  
37    4680.6   4704.4    4652.2   4677.3    4717.6   4737.7   0  S4693   
38    4035.9   4047.5    4014.9   4029.0    4054.7   4070.4   0  K4042   
39    3899.5   4003.5    3806.5   3833.8    4020.7   4052.4   0  Cahk    
40    8525.9   8558.3    8452.4   8482.3    8566.8   8595.0   0  Ca8542  
41    8648.8   8676.1    8601.0   8635.1    8703.4   8742.6   0  Ca8662  
42    3604.9   3620.4    3539.7   3563.2    3676.8   3697.4   0  Sc3613 
43    4303.0   4320.7    4286.1   4300.6    4335.8   4354.4   0  Sc4312 
44    6265.1   6318.8    6199.2   6231.1    6320.9   6366.5   0  Sc6292 
45    4283.6   4308.2    4253.8   4274.4    4324.5   4343.0   0  Ti4296  
46    4525.3   4541.1    4486.3   4506.2    4548.7   4561.3   0  Ti4533  
47    4973.1   5026.1    4930.6   4959.4    5035.4   5052.5   0  Ti5000  
48    4086.4   4138.5    4057.1   4074.3    4145.0   4160.5   0  V4112   
49    4919.6   4937.4    4899.8   4914.8    4951.8   4965.2   0  V4928   
50    6592.2   6615.4    6516.5   6549.7    6655.8   6693.8   0  V6604   
51    3586.6   3602.4    3536.6   3560.5    3625.2   3641.5   0  Cr3594  
52    4246.8   4281.3    4179.3   4195.6    4310.7   4334.7   0  Cr4264  
53    5198.9   5213.6    5130.0   5149.2    5240.3   5257.0   0  Cr5206  
54    3780.9   3806.1    3744.9   3769.6    3847.9   3865.3   0  Mn3794  
55    3992.6   4044.4    3940.9   3962.3    4096.3   4121.5   0  Mn4018  
56    4443.3   4477.7    4386.8   4406.9    4506.1   4530.3   0  Mn4061  
57    4741.5   4773.4    4715.6   4737.8    4792.4   4812.1   0  Mn4757  
58    4037.9   4078.4    4009.0   4031.1    4107.6   4125.7   0  Fe4058  
59    4907.0   4943.8    4894.5   4907.0    4943.8   4954.5   0  Fe4930  
60    3695.0   3708.0    3656.0   3676.1    3712.4   3723.0   0  Co3701  
61    3831.4   3849.3    3772.7   3810.2    3850.4   3863.4   0  Co3840  
62    3864.5   3887.0    3850.4   3863.4    3909.3   3934.4   0  Co3876  
63    7781.9   7845.5    7723.0   7777.2    7847.6   7870.2   0  Co7815  
64    8162.8   8207.5    8102.0   8142.9    8214.1   8255.0   0  Co8185  
65    3655.1   3679.4    3630.4   3646.6    3685.4   3705.3   0  Ni3667  
66    3766.1   3794.7    3749.4   3764.4    3800.1   3815.6   0  Ni3780  
67    4279.6   4305.4    4260.9   4275.3    4307.4   4323.6   0  Ni4292  
68    4897.4   4922.1    4879.3   4895.8    4953.2   4969.4   0  Ni4910  
69    4966.0   4986.3    4951.5   4964.4    5016.8   5028.9   0  Ni4976  
70    5578.3   5605.4    5521.1   5542.7    5612.6   5632.6   0  Ni5592  
71    5209.1   5225.3    5160.9   5186.9    5247.5   5275.8   0  Cu5217  
72    5772.3   5787.3    5720.1   5753.2    5808.0   5830.8   0  Cu5780  
73    4708.7   4731.5    4652.7   4670.0    4755.4   4775.5   0  Zn4720  
74    4545.4   4558.5    4522.2   4535.0    4559.5   4578.8   0  Ba4552  
75    4922.8   4943.3    4902.7   4916.1    4967.2   4992.7   0  Ba4933  
76    6130.7   6152.6    6105.8   6128.2    6176.3   6209.6   0  Ba6142  
77    4069.0   4082.2    4038.4   4055.6    4105.3   4126.8   0  Sr4076  
78    3962.8   3976.7    3929.0   3945.8    3980.7   3993.9   0  Eu3970  
79    4584.8   4598.8    4533.5   4550.8    4626.3   4645.7   0  Eu4592  
