!Empirical data from Tonry et al
             SBF             SBF
mg2	V-I  R-I     err     V-I     err     mg2
0.185	1.09 1.55    0.141   2.33    0.141   0.185
0.308	1.21 1.73    0.064   2.58    0.072   0.308
0.321	0.21 1.13    0.200   1.83    0.34    0.321
0.305	1.20 1.38    0.0922  2.18    0.108   0.305
0.311	1.13 1.30    0.0849  2.18    0.117   0.311
0.227	1.29 1.33    0.0922  2.47    0.190   0.227
0.168	0.91 1.41    0.122   2.37    0.13    0.168
0.306	1.24 1.61    0.0781  2.60    0.0780  0.306
0.198	1.12 1.51    0.114   2.42    0.130   0.198
0.264	1.19 1.43    0.0922  2.64    0.143   0.264
0.324	1.20 1.30    0.0781  2.27    0.121   0.324
0.300	1.01 1.57    0.1     2.46    0.125   0.300
