I=0.6A; V=3.09V;
x	y	umol
1	0	10.05
2	0	10.02
3	0	9.84
4	0	9.13
5	0	8.04
6	0	7.19
0	0	9.90
-1	0	9.24
-2	0	8.16
-3	0	6.91
-4	0	6.11
-5	0	5.45
-5	1	5.59
-4	1	6.28
-3	1	7.32
-2	1	8.38
-1	1	9.71
0	1	10.08
1	1	9.82
2	1	9.85
3	1	9.97
4	1	9.52
5	1	8.33
6	1	7.52
-5	2	5.66
-4	2	6.38
-3	2	7.27
-2	2	8.52
-1	2	9.71
0	2	10.09
1	2	9.96
2	2	10.04
3	2	10.00
4	2	9.38
5	2	8.38
6	2	7.48
-5	3	5.55
-4	3	6.23
-3	3	7.08
-2	3	8.12
-1	3	9.14
0	3	9.99
1	3	10.11
2	3	10.08
3	3	9.87
4	3	8.98
5	3	8.06
6	3	7.28
-5	4	5.40
-4	4	5.88
-3	4	6.68
-2	4	7.52
-1	4	8.56
0	4	9.09
1	4	9.52
2	4	9.41
3	4	9.04
4	4	8.38
5	4	7.48
6	4	6.92
-5	5	5.22
-4	5	5.60
-3	5	6.29
-2	5	7.00
-1	5	7.71
0	5	8.27
1	5	8.58
2	5	8.62
3	5	8.27
4	5	7.64
5	5	7.05
6	5	6.60
-5	-1	5.24
-4	-1	5.85
-3	-1	6.62
-2	-1	7.54
-1	-1	8.50
0	-1	9.36
1	-1	9.65
2	-1	9.52
3	-1	9.13
4	-1	8.40
5	-1	7.37
6	-1	6.84
-5	-2	4.97
-4	-2	5.45
-3	-2	6.07
-2	-2	6.69
-1	-2	7.53
0	-2	8.20
1	-2	8.49
2	-2	8.41
3	-2	8.05
4	-2	7.43
5	-2	6.75
6	-2	5.27
-5	-3	4.97
-4	-3	5.45
-3	-3	6.05
-2	-3	6.73
-1	-3	7.56
0	-3	8.21
1	-3	8.52
2	-3	7.20
3	-3	7.04
4	-3	6.51
5	-3	6.07
6	-3	5.69
-5	-4	4.41
-4	-4	4.68
-3	-4	5.07
-2	-4	5.42
-1	-4	5.79
0	-4	6.19
1	-4	6.25
2	-4	6.27
3	-4	6.12
4	-4	5.77
5	-4	5.46
6	-4	5.20
-5	-5	4.12
-4	-5	4.37
-3	-5	4.63
-2	-5	4.93
-1	-5	5.21
0	-5	5.43
1	-5	5.52
2	-5	5.51
3	-5	5.38
4	-5	5.22
5	-5	4.98
6	-5	4.78
