 extinction:   0.   HB life, lum:    1.05000  0.
 pcol      Ux    Bx      B       V      Rc      Ic     J       H       K       L      Lprime    M       U-B     B-V    V-R    V-I    V-J     V-H     V-K    V-L     V-Lprime    V-M
31.66   1.888   1.565   1.587   0.681   0.132  -0.476  -1.390  -2.131  -2.260  -2.417  -2.420  -2.352   0.324   0.906   0.549   1.158   2.071   2.812   2.941   3.099   3.102   3.033
31.70   1.949   1.603   1.625   0.704   0.146  -0.473  -1.400  -2.148  -2.279  -2.439  -2.442  -2.377   0.347   0.922   0.558   1.177   2.104   2.852   2.983   3.142   3.146   3.081
31.74   2.015   1.643   1.666   0.728   0.162  -0.468  -1.411  -2.167  -2.300  -2.461  -2.465  -2.404   0.372   0.938   0.566   1.197   2.140   2.895   3.029   3.189   3.194   3.132
31.78   2.052   1.665   1.689   0.743   0.172  -0.465  -1.418  -2.177  -2.312  -2.474  -2.479  -2.422   0.387   0.946   0.571   1.208   2.160   2.919   3.054   3.217   3.222   3.164
31.81   2.097   1.692   1.716   0.760   0.183  -0.461  -1.425  -2.188  -2.326  -2.489  -2.495  -2.441   0.405   0.957   0.577   1.221   2.185   2.948   3.085   3.249   3.255   3.200
31.84   2.133   1.713   1.738   0.773   0.192  -0.458  -1.431  -2.197  -2.336  -2.501  -2.508  -2.457   0.420   0.964   0.581   1.231   2.204   2.971   3.110   3.274   3.281   3.230
31.87   2.166   1.733   1.757   0.786   0.201  -0.454  -1.437  -2.206  -2.347  -2.513  -2.520  -2.472   0.433   0.971   0.585   1.240   2.223   2.992   3.133   3.299   3.306   3.259
31.91   2.198   1.752   1.776   0.799   0.210  -0.451  -1.442  -2.214  -2.356  -2.523  -2.532  -2.487   0.446   0.978   0.589   1.249   2.240   3.013   3.155   3.322   3.330   3.286
31.94   2.222   1.766   1.791   0.808   0.217  -0.448  -1.446  -2.220  -2.364  -2.532  -2.540  -2.498   0.456   0.983   0.592   1.256   2.254   3.028   3.172   3.340   3.348   3.306
31.96   2.246   1.780   1.805   0.818   0.223  -0.445  -1.450  -2.226  -2.371  -2.540  -2.549  -2.510   0.467   0.987   0.594   1.263   2.267   3.043   3.188   3.357   3.367   3.327
40.66   2.301   1.838   1.864   0.878   0.286  -0.389  -1.476  -2.267  -2.420  -2.592  -2.601  -2.565   0.463   0.985   0.592   1.267   2.354   3.146   3.299   3.470   3.479   3.443
40.70   2.345   1.865   1.891   0.897   0.301  -0.380  -1.484  -2.279  -2.435  -2.608  -2.618  -2.587   0.480   0.994   0.596   1.277   2.381   3.176   3.332   3.505   3.515   3.484
40.74   2.397   1.898   1.924   0.920   0.318  -0.370  -1.492  -2.291  -2.451  -2.626  -2.637  -2.610   0.499   1.004   0.602   1.290   2.412   3.211   3.370   3.545   3.557   3.529
40.78   2.449   1.931   1.957   0.943   0.336  -0.360  -1.501  -2.304  -2.467  -2.643  -2.656  -2.633   0.519   1.014   0.607   1.303   2.443   3.247   3.410   3.586   3.599   3.575
40.81   2.502   1.964   1.990   0.966   0.353  -0.350  -1.509  -2.317  -2.482  -2.660  -2.675  -2.655   0.539   1.025   0.612   1.316   2.475   3.283   3.448   3.626   3.640   3.621
40.84   2.548   1.992   2.019   0.986   0.369  -0.341  -1.516  -2.327  -2.495  -2.674  -2.690  -2.674   0.556   1.033   0.617   1.326   2.501   3.313   3.481   3.659   3.676   3.660
40.87   2.586   2.015   2.042   1.001   0.381  -0.333  -1.521  -2.336  -2.506  -2.685  -2.703  -2.690   0.572   1.040   0.621   1.335   2.523   3.337   3.507   3.687   3.704   3.691
40.91   2.625   2.037   2.064   1.017   0.392  -0.326  -1.527  -2.343  -2.516  -2.696  -2.715  -2.705   0.588   1.048   0.625   1.343   2.544   3.360   3.532   3.712   3.732   3.722
40.94   2.664   2.061   2.089   1.033   0.403  -0.320  -1.532  -2.351  -2.525  -2.705  -2.727  -2.718   0.603   1.056   0.630   1.353   2.565   3.384   3.558   3.738   3.759   3.751
