 pcol  [Fe/H]  Age    F284W   U       B       V      R       I       K       300w    336w    547m    555w    606w    814w   606W-814W  V-I  STIS_LP NIC_110 NIC_160 LP-160w
31.66  -0.25   8.00  -6.798  -7.759  -8.060  -8.966  -9.515 -10.123 -11.907  -7.238  -7.785  -8.979  -8.916  -9.229 -10.054   0.825   1.158  -9.691 -10.746 -11.680   1.989
31.70  -0.25   9.00  -6.644  -7.635  -7.959  -8.881  -9.438 -10.057 -11.864  -7.099  -7.658  -8.894  -8.830  -9.148  -9.987   0.839   1.177  -9.619 -10.691 -11.634   2.015
31.74  -0.25  10.00  -6.488  -7.510  -7.859  -8.797  -9.364  -9.994 -11.826  -6.957  -7.529  -8.811  -8.747  -9.069  -9.922   0.853   1.197  -9.549 -10.640 -11.593   2.044
31.78  -0.25  11.00  -6.360  -7.404  -7.767  -8.713  -9.284  -9.921 -11.768  -6.840  -7.420  -8.727  -8.663  -8.987  -9.848   0.861   1.208  -9.472 -10.574 -11.532   2.060
31.81  -0.25  12.00  -6.220  -7.287  -7.668  -8.625  -9.202  -9.846 -11.710  -6.712  -7.301  -8.639  -8.574  -8.902  -9.773   0.871   1.221  -9.393 -10.508 -11.472   2.079
31.84  -0.25  13.00  -6.099  -7.188  -7.583  -8.548  -9.129  -9.779 -11.657  -6.601  -7.200  -8.562  -8.497  -8.826  -9.705   0.879   1.231  -9.323 -10.449 -11.417   2.094
31.87  -0.25  14.00  -5.990  -7.098  -7.507  -8.478  -9.063  -9.718 -11.611  -6.502  -7.108  -8.492  -8.427  -8.758  -9.644   0.886   1.240  -9.259 -10.396 -11.368   2.109
31.91  -0.25  15.00  -5.881  -7.009  -7.431  -8.408  -8.997  -9.657 -11.563  -6.403  -7.016  -8.423  -8.357  -8.691  -9.583   0.892   1.249  -9.196 -10.342 -11.318   2.122
31.94  -0.25  16.00  -5.788  -6.932  -7.363  -8.346  -8.938  -9.602 -11.518  -6.317  -6.937  -8.361  -8.295  -8.630  -9.527   0.897   1.256  -9.138 -10.292 -11.271   2.133
31.96  -0.25  17.00  -5.694  -6.854  -7.296  -8.283  -8.877  -9.546 -11.472  -6.231  -6.857  -8.298  -8.232  -8.568  -9.470   0.902   1.263  -9.080 -10.241 -11.223   2.143
40.66   0.00   8.00  -6.390  -7.473  -7.911  -8.896  -9.488 -10.163 -12.195  -6.901  -7.500  -8.911  -8.846  -9.179 -10.089   0.911   1.267  -9.700 -10.926 -11.936   2.237
40.70   0.00   9.00  -6.238  -7.345  -7.799  -8.792  -9.388 -10.070 -12.124  -6.762  -7.370  -8.807  -8.742  -9.077  -9.995   0.919   1.277  -9.603 -10.845 -11.862   2.259
40.74   0.00  10.00  -6.072  -7.203  -7.677  -8.681  -9.283  -9.971 -12.052  -6.608  -7.227  -8.696  -8.631  -8.968  -9.896   0.928   1.290  -9.501 -10.762 -11.785   2.283
40.78   0.00  11.00  -5.942  -7.097  -7.590  -8.604  -9.211  -9.907 -12.013  -6.491  -7.119  -8.619  -8.553  -8.893  -9.832   0.938   1.303  -9.434 -10.712 -11.742   2.309
40.81   0.00  12.00  -5.811  -6.991  -7.503  -8.527  -9.140  -9.843 -11.975  -6.372  -7.011  -8.543  -8.477  -8.819  -9.768   0.948   1.316  -9.367 -10.664 -11.700   2.334
40.84   0.00  13.00  -5.689  -6.892  -7.421  -8.455  -9.072  -9.781 -11.935  -6.263  -6.910  -8.471  -8.404  -8.749  -9.705   0.957   1.326  -9.302 -10.614 -11.657   2.355
40.87   0.00  14.00  -5.577  -6.801  -7.345  -8.386  -9.006  -9.720 -11.893  -6.162  -6.817  -8.402  -8.335  -8.682  -9.645   0.963   1.335  -9.239 -10.565 -11.612   2.372
40.91   0.00  15.00  -5.463  -6.708  -7.269  -8.316  -8.941  -9.659 -11.849  -6.059  -6.722  -8.333  -8.266  -8.614  -9.584   0.970   1.343  -9.177 -10.514 -11.565   2.388
40.94   0.00  16.00  -5.353  -6.619  -7.195  -8.251  -8.880  -9.604 -11.808  -5.960  -6.631  -8.267  -8.200  -8.551  -9.528   0.977   1.353  -9.118 -10.467 -11.522   2.404
40.96   0.00  17.00  -5.255  -6.539  -7.127  -8.188  -8.821  -9.548 -11.765  -5.871  -6.548  -8.205  -8.138  -8.490  -9.472   0.981   1.359  -9.061 -10.419 -11.477   2.416
41.66   0.25   8.00  -5.640  -6.930  -7.594  -8.660  -9.288 -10.010 -12.381  -6.251  -6.932  -8.678  -8.610  -8.960  -9.939   0.979   1.350  -9.536 -10.989 -12.067   2.531
41.70   0.25   9.00  -5.419  -6.757  -7.466  -8.555  -9.197  -9.936 -12.362  -6.053  -6.751  -8.574  -8.505  -8.861  -9.864   1.003   1.381  -9.454 -10.948 -12.041   2.587
41.74   0.25  10.00  -5.263  -6.634  -7.366  -8.465  -9.111  -9.855 -12.309  -5.914  -6.624  -8.484  -8.415  -8.773  -9.783   1.010   1.391  -9.372 -10.884 -11.984   2.613
41.78   0.25  11.00  -5.104  -6.510  -7.266  -8.373  -9.023  -9.773 -12.253  -5.773  -6.495  -8.393  -8.323  -8.683  -9.701   1.018   1.400  -9.288 -10.818 -11.924   2.636
41.81   0.25  12.00  -4.941  -6.383  -7.163  -8.279  -8.934  -9.688 -12.192  -5.629  -6.364  -8.299  -8.229  -8.591  -9.615   1.024   1.408  -9.201 -10.748 -11.859   2.658
41.84   0.25  13.00  -4.816  -6.287  -7.086  -8.209  -8.867  -9.626 -12.153  -5.519  -6.264  -8.229  -8.159  -8.523  -9.554   1.030   1.417  -9.138 -10.700 -11.816   2.679
41.87   0.25  14.00  -4.687  -6.190  -7.008  -8.139  -8.800  -9.564 -12.112  -5.407  -6.162  -8.159  -8.088  -8.454  -9.491   1.037   1.425  -9.074 -10.652 -11.772   2.699
41.91   0.25  15.00  -4.553  -6.091  -6.929  -8.067  -8.732  -9.499 -12.068  -5.291  -6.058  -8.087  -8.016  -8.384  -9.427   1.043   1.432  -9.008 -10.600 -11.725   2.717
41.94   0.25  16.00  -4.434  -6.001  -6.859  -8.006  -8.677  -9.452 -12.043  -5.187  -5.962  -8.027  -7.955  -8.326  -9.379   1.053   1.446  -8.958 -10.566 -11.697   2.739
41.96   0.25  17.00  -4.322  -5.921  -6.797  -7.951  -8.627  -9.407 -12.016  -5.092  -5.877  -7.972  -7.901  -8.274  -9.333   1.060   1.455  -8.910 -10.533 -11.667   2.757
