 pcol   Z      age    B-Rj     U-V      B-V      V-R      V-I      V-J      V-K      J-K      J-L
31.66 0.00950  8.00   1.5857   1.2161   0.8955   0.6902   1.3140   2.0516   2.9230   0.8713   0.9938
31.70 0.00950  9.00   1.6121   1.2541   0.9110   0.7011   1.3364   2.0847   2.9649   0.8802   1.0042
31.74 0.00950 10.00   1.6395   1.2949   0.9271   0.7124   1.3605   2.1204   3.0098   0.8895   1.0152
31.78 0.00950 11.00   1.6535   1.3169   0.9351   0.7184   1.3738   2.1405   3.0353   0.8948   1.0217
31.81 0.00950 12.00   1.6715   1.3450   0.9456   0.7259   1.3899   2.1651   3.0657   0.9007   1.0290
31.84 0.00950 13.00   1.6845   1.3669   0.9531   0.7314   1.4024   2.1842   3.0896   0.9054   1.0349
31.87 0.00950 14.00   1.6965   1.3864   0.9599   0.7366   1.4142   2.2025   3.1125   0.9100   1.0407
31.91 0.00950 15.00   1.7077   1.4056   0.9663   0.7414   1.4252   2.2199   3.1341   0.9142   1.0462
31.94 0.00950 16.00   1.7164   1.4206   0.9713   0.7451   1.4337   2.2331   3.1506   0.9175   1.0504
31.96 0.00950 17.00   1.7245   1.4350   0.9758   0.7487   1.4420   2.2463   3.1667   0.9204   1.0543
40.66 0.01690  8.00   1.7204   1.4321   0.9741   0.7463   1.4662   2.3324   3.2765   0.9441   1.0802
40.70 0.01690  9.00   1.7339   1.4569   0.9822   0.7517   1.4806   2.3584   3.3090   0.9506   1.0886
40.74 0.01690 10.00   1.7516   1.4866   0.9927   0.7589   1.4977   2.3889   3.3464   0.9575   1.0973
40.78 0.01690 11.00   1.7685   1.5152   1.0025   0.7660   1.5155   2.4199   3.3847   0.9648   1.1062
40.81 0.01690 12.00   1.7857   1.5449   1.0126   0.7731   1.5331   2.4507   3.4223   0.9715   1.1141
40.84 0.01690 13.00   1.8002   1.5707   1.0212   0.7790   1.5477   2.4769   3.4540   0.9770   1.1206
40.87 0.01690 14.00   1.8122   1.5927   1.0283   0.7839   1.5596   2.4981   3.4794   0.9813   1.1257
40.91 0.01690 15.00   1.8242   1.6155   1.0354   0.7888   1.5710   2.5185   3.5037   0.9851   1.1301
40.94 0.01690 16.00   1.8385   1.6384   1.0435   0.7950   1.5838   2.5395   3.5284   0.9889   1.1342
40.96 0.01690 17.00   1.8476   1.6563   1.0490   0.7986   1.5922   2.5547   3.5461   0.9914   1.1372
41.66 0.03005  8.00   1.8460   1.7353   1.0542   0.7918   1.6108   2.6759   3.6857   1.0098   1.1496
41.70 0.03005  9.00   1.8864   1.8022   1.0769   0.8094   1.6516   2.7466   3.7691   1.0225   1.1631
41.74 0.03005 10.00   1.9009   1.8341   1.0859   0.8150   1.6663   2.7772   3.8055   1.0282   1.1691
41.78 0.03005 11.00   1.9153   1.8664   1.0949   0.8205   1.6802   2.8061   3.8391   1.0330   1.1745
41.81 0.03005 12.00   1.9291   1.8985   1.1036   0.8255   1.6925   2.8324   3.8696   1.0372   1.1792
41.84 0.03005 13.00   1.9409   1.9236   1.1106   0.8303   1.7049   2.8576   3.8991   1.0415   1.1840
41.87 0.03005 14.00   1.9527   1.9495   1.1177   0.8350   1.7170   2.8823   3.9275   1.0452   1.1884
41.91 0.03005 15.00   1.9645   1.9761   1.1249   0.8395   1.7279   2.9046   3.9531   1.0484   1.1925
41.94 0.03005 16.00   1.9816   2.0043   1.1340   0.8476   1.7459   2.9346   3.9873   1.0527   1.1973
41.96 0.03005 17.00   1.9936   2.0290   1.1410   0.8527   1.7585   2.9576   4.0135   1.0559   1.2010
