( Z, Y, Age) = 0.009504   0.254   8.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.5023E+05   4.701     16.75  0.0000E+00   0.000     12.75  0.8626E+05   4.936
 12.50  0.1884E+06   5.275     16.50  0.9159E+04   3.962     12.50  0.9761E+04   3.990
 12.25  0.1667E+06   5.222     16.25  0.5952E+05   4.775     12.25  0.3353E+05   4.525
 12.00  0.2022E+06   5.306     16.00  0.1026E+06   5.011     12.00  0.1015E+06   5.006
 11.75  0.1972E+06   5.295     15.75  0.1258E+06   5.100     11.75  0.2119E+05   4.326
 11.50  0.1934E+06   5.287     15.50  0.1348E+06   5.130     11.50  0.8874E+05   4.948
 11.25  0.2402E+06   5.381     15.25  0.1421E+06   5.152     11.25  0.7572E+05   4.879
 11.00  0.1952E+06   5.290     15.00  0.1490E+06   5.173     11.00  0.6452E+05   4.810
 10.75  0.1833E+06   5.263     14.75  0.1184E+06   5.074     10.75  0.5662E+05   4.753
 10.50  0.1718E+06   5.235     14.50  0.1205E+06   5.081     10.50  0.4884E+05   4.689
 10.25  0.1651E+06   5.218     14.25  0.1252E+06   5.098     10.25  0.4154E+05   4.618
 10.00  0.1245E+06   5.095     14.00  0.1279E+06   5.107     10.00  0.3637E+05   4.561
  9.75  0.1067E+06   5.028     13.75  0.1477E+06   5.169      9.75  0.3104E+05   4.492
  9.50  0.9039E+05   4.956     13.50  0.1242E+06   5.094      9.50  0.2592E+05   4.414
  9.25  0.7526E+05   4.877     13.25  0.1082E+06   5.034      9.25  0.2175E+05   4.338
  9.00  0.6130E+05   4.787     13.00  0.1026E+06   5.011      9.00  0.1859E+05   4.269
  8.75  0.5476E+05   4.738     12.75  0.1094E+06   5.039      8.75  0.1613E+05   4.208
  8.50  0.3788E+05   4.578     12.50  0.4405E+05   4.644      8.50  0.1404E+05   4.147
  8.25  0.3050E+05   4.484     12.25  0.8216E+05   4.915      8.25  0.1226E+05   4.088
  8.00  0.2754E+05   4.440     12.00  0.5810E+05   4.764      8.00  0.1086E+05   4.036
