  pcol   Z       age   %lost  Hd/4045  Hd/4063  Sr/4045  Sr/4063   pGband  Hg/4325 4289/271  4384/352 P[Fe/H]   Ca II   3888/859 p(220)/p(209) HgamHR CaIHR 4045HR   HdelHR   LickHdA  LickHdF  Ca4227   G4300    LickHgA  LickHgF  Fe4383   CN_1     CN_2     Hbeta    Fe5015     Mg1     Mg2      Mgb     Fe5270   Fe5335   Fe5406  DBalmer
 31.66 0.00950   8.00000   0.00  0.98037  0.96758  1.02752  1.01411  0.78707  1.00142  0.98895  0.85566  1.14049  1.19733  0.92249  1.00382  0.95038  0.96294  0.66249  1.00834 -1.59697 -0.11693  0.56957  3.30336 -3.42284 -0.93735  3.92760  0.02803  0.05820 -1.69411  1.54006 -0.04665  0.07019  1.73820  4.15849  1.94709  1.10330  1.39324
 31.70 0.00950   9.00000   0.00  0.99614  0.98096  1.03368  1.01792  0.85754  1.01684  0.99368  0.84681  1.14579  1.20384  0.94169  1.00441  0.94566  1.00690  0.69473  1.00326 -1.69136 -0.11924  0.61657  3.50627 -3.58037 -0.99774  4.15791  0.02842  0.06067 -1.67791  1.88189 -0.04074  0.07828  1.84081  4.21313  2.06430  1.16521  1.39151
 31.74 0.00950  10.00000   0.01  1.01186  0.99517  1.03836  1.02123  0.91308  1.03235  0.99763  0.83882  1.15108  1.21105  0.96124  1.00542  0.93650  1.04339  0.72038  0.99420 -1.75398 -0.12378  0.64544  3.64336 -3.68621 -1.03698  4.29566  0.02900  0.06267 -1.81878  2.22462 -0.03773  0.08407  1.89303  4.28855  2.16053  1.19627  1.38870
 31.78 0.00950  11.00000   0.01  1.02189  1.00375  1.04294  1.02442  0.95902  1.04333  1.00143  0.83321  1.15440  1.21403  0.97504  1.00471  0.93125  1.07006  0.74010  0.98793 -1.81563 -0.12759  0.67450  3.75540 -3.76407 -1.07209  4.41316  0.02844  0.06328 -1.85820  2.41684 -0.03436  0.08901  1.95832  4.32452  2.22073  1.22248  1.38777
 31.81 0.00950  12.00000   0.01  1.03314  1.01440  1.04672  1.02773  0.98552  1.05455  1.00437  0.82809  1.15816  1.21770  0.98635  1.00429  0.92094  1.09241  0.75552  0.98038 -1.85068 -0.13433  0.69002  3.79314 -3.80839 -1.09541  4.45774  0.02824  0.06365 -2.03587  2.60377 -0.03340  0.09227  1.97773  4.38738  2.27555  1.23240  1.38369
 31.84 0.00950  13.00000   0.01  1.04300  1.02326  1.05027  1.03039  1.02198  1.06425  1.00778  0.82368  1.16113  1.22005  0.99994  1.00434  0.91527  1.11448  0.77220  0.97548 -1.88667 -0.13482  0.70882  3.87973 -3.86369 -1.11784  4.53728  0.02780  0.06408 -2.11989  2.78085 -0.03151  0.09553  2.00976  4.41344  2.32620  1.24684  1.38260
 31.87 0.00950  14.00000   0.01  1.05215  1.03058  1.05529  1.03366  1.06952  1.07316  1.01136  0.81886  1.16408  1.22105  1.01283  1.00384  0.91365  1.14239  0.79300  0.97476 -1.95027 -0.13478  0.74472  4.00396 -3.95820 -1.15693  4.68704  0.02739  0.06514 -2.10560  2.93141 -0.02742  0.10072  2.08206  4.42024  2.38172  1.27878  1.38165
 31.91 0.00950  15.00000   0.01  1.06041  1.03835  1.05783  1.03582  1.09510  1.08135  1.01387  0.81547  1.16654  1.22303  1.02475  1.00375  0.90714  1.15822  0.80471  0.96916 -1.97172 -0.13608  0.75604  4.05093 -3.98658 -1.16889  4.72508  0.02693  0.06522 -2.22988  3.07524 -0.02659  0.10296  2.09318  4.45132  2.41889  1.28293  1.38098
 31.94 0.00950  16.00000   0.01  1.06597  1.04365  1.05960  1.03741  1.11671  1.08849  1.01675  0.81298  1.16808  1.22372  1.03446  1.00343  0.90147  1.16860  0.81229  0.96220 -1.99166 -0.14128  0.76013  4.08606 -3.99248 -1.17586  4.73156  0.02620  0.06471 -2.33770  3.18946 -0.02577  0.10467  2.10303  4.47422  2.44531  1.28458  1.38020
 31.96 0.00950  17.00000   0.01  1.07238  1.04970  1.06158  1.03913  1.13691  1.09491  1.01885  0.81048  1.16987  1.22489  1.04463  1.00332  0.89620  1.18049  0.82120  0.95755 -2.00622 -0.14166  0.76835  4.12179 -4.00825 -1.18283  4.75597  0.02562  0.06454 -2.44228  3.29831 -0.02510  0.10635  2.10919  4.49555  2.47286  1.28551  1.37948
