 I_0   dI(100)  dI(200)  dI(300)  dI(400)
    0.069   -0.014   -0.028   -0.037   -0.043  CN_1     
    0.133   -0.011   -0.030   -0.052   -0.073  CN_2     
    2.491    0.100   -0.190   -0.583   -1.021  Ca4227   
    7.272    0.078   -0.229   -0.553   -0.839  G4300    
    7.322    0.101   -0.191   -0.896   -1.642  Fe4383   
    2.270   -0.081   -0.465   -0.848   -1.158  Ca4455   
    4.270    0.270    0.051   -0.295   -0.690  Fe4531   
    4.376   -0.054   -0.146   -0.471   -0.886  C2_4668  
    1.062    0.040    0.060    0.063    0.058  H_beta   
    6.231    0.135   -0.640   -1.381   -1.932  Fe5015   
    0.138    0.001   -0.001   -0.004   -0.007  Mg_1     
    0.301    0.001   -0.002   -0.005   -0.007  Mg_2     
    4.539    0.063   -0.075   -0.455   -0.892  Mg_b     
    4.697   -0.256   -0.690   -1.158   -1.565  Fe5270   
    4.537   -0.390   -0.952   -1.685   -2.361  Fe5335   
    2.746    0.033   -0.295   -0.816   -1.322  Fe5406   
    1.387   -0.060   -0.181   -0.312   -0.477  Fe5709   
    0.938    0.045   -0.106   -0.287   -0.449  Fe5782   
    4.405   -0.094   -0.245   -0.446   -0.766  Na_D     
    0.035    0.000    0.001    0.000   -0.001  TiO_1    
    0.080    0.000   -0.001   -0.002   -0.003  TiO_2    
   -5.554    0.072    0.399    0.874    1.323  Hdelta_A 
   -9.190   -0.184   -0.388   -0.445   -0.289  Hgamma_A 
   -0.433   -0.008   -0.084   -0.148   -0.241  Hdelta_F 
   -2.271   -0.026    0.004    0.055    0.053  Hgamma_F 
    0.584    0.007   -0.055   -0.148   -0.246  H_alpha  
    3.593   -0.242   -0.529   -0.772   -0.987  CO4685   
   -0.023    0.025    0.178    0.357    0.487  CO5161   
    9.676   -0.532   -0.626   -0.736   -0.908  CNO3862  
    3.541   -0.104   -0.212   -0.474   -0.733  CNO4175  
    1.235    0.052    0.055    0.013   -0.072  Na8190   
    7.105   -0.333   -0.373   -0.410   -0.479  Mg3835   
    1.995   -0.100   -0.076   -0.169   -0.326  Mg4780   
   -3.852    0.223    0.940    1.871    2.867  Al3953   
    0.738   -0.168   -0.400   -0.674   -0.942  Si4101   
   -1.364    0.186    0.129   -0.025   -0.149  Si4513   
    0.409   -0.039   -0.148   -0.212   -0.232  S4693    
    0.687   -0.151   -0.293   -0.328   -0.356  K4042    
   20.418    0.277    0.472    0.518    0.613  Cahk     
    3.211   -0.063   -0.106   -0.281   -0.580  Ca8542   
    2.442   -0.123   -0.208   -0.405   -0.657  Ca8662   
    4.906   -0.050   -0.267   -0.601   -0.955  Sc3613   
   -0.197    0.330    0.853    1.056    1.079  Sc4312   
    0.461    0.075    0.055    0.075    0.121  Sc6292   
    5.986   -0.028    0.075   -0.016   -0.224  Ti4296   
    1.677   -0.029   -0.186   -0.305   -0.410  Ti4533   
    1.597    0.366    0.848    1.061    1.103  Ti5000   
   -5.821   -0.318   -0.306    0.104    0.616  V4112    
    0.367    0.054    0.075    0.064    0.035  V4928    
    0.524   -0.174   -0.255   -0.327   -0.389  V6604    
    1.556   -0.121    0.061    0.303    0.545  Cr3594   
    3.928   -0.220   -0.772   -1.319   -1.752  Cr4264   
    1.609    0.111    0.085   -0.081   -0.245  Cr5206   
   -7.256    0.351    0.942    1.389    1.601  Mn3794   
  -15.490    0.399    0.505    0.125   -0.494  Mn4018   
    0.204    0.094    0.288    0.352    0.339  Mn4061   
    0.441   -0.110   -0.211   -0.244   -0.239  Mn4757   
    6.085   -0.118   -0.473   -0.778   -1.110  Fe4058   
    4.211   -0.362   -1.140   -1.857   -2.455  Fe4930   
   -0.277    0.054   -0.078   -0.326   -0.512  Co3701   
    3.474   -0.190   -0.223   -0.093    0.121  Co3840   
   -0.073   -0.756   -0.809   -0.638   -0.502  Co3876   
    2.114    0.055    0.014   -0.084   -0.202  Co7815   
    1.187    0.042    0.027   -0.012   -0.084  Co8185   
   -5.202    0.146    0.405    0.687    1.004  Ni3667   
   -5.695   -0.350   -0.767   -1.128   -1.397  Ni3780   
    4.498   -0.141   -0.256   -0.367   -0.553  Ni4292   
   -0.521   -0.202   -0.194   -0.068    0.058  Ni4910   
    0.492   -0.204   -0.310   -0.228   -0.145  Ni4976   
    0.869   -0.076   -0.066   -0.077   -0.107  Ni5592   
   -2.712    0.246    0.713    1.072    1.338  Cu5217   
    0.819   -0.012   -0.131   -0.238   -0.332  Cu5780   
   -0.683   -0.038    0.056    0.149    0.240  Zn4720   
   -0.005    0.104    0.038   -0.015   -0.037  Ba4552   
   -0.298    0.062   -0.015   -0.064   -0.093  Ba4933   
    0.185    0.011   -0.017   -0.037   -0.046  Ba6142   
    1.136    0.161    0.038   -0.181   -0.405  Sr4076   
    6.911   -0.113   -0.483   -1.082   -1.768  Eu3970   
    0.176   -0.128   -0.128   -0.127   -0.148  Eu4592   
