pcol   Z        age    Mu       Mb       Mv       Mr       Mi       Mj       Mh       Mk       Ml       Mlp      Mm       Mg2      Vb-Ib    Rb-Ib    B-V      R-I      V-I      V-K     KzUbar   KzBbar   KzVbar   KzR_Jbar KzI_Jbar KzJbar   KzHbar   KzKbar   336W     439W     555W     675W     702W     785LP    368M     413M     492M     547M     648M     718M     875M     284W     tonryU   tonryB   tonryV   tonryR   tonryI   RG695v   RG9r     RG780i   RG850    RG1000  sq750    sq800    sq850    sq900    160W     300W     336W     546W     555W     606W     814W (555-814)ord (555-814)SBF (V-I)SBF Kp_bar H-K     H-Kp    STIS_LPbar  NIC_110wbar  NIC_160Wbar
31.23 0.00755  1.00   2.0118   1.6576   1.6783   0.5292  -0.4430  -2.0925  -5.4479  -6.7389  -7.1680  -7.4367  -7.7068   0.0754   2.1214   0.9723   0.4621   0.3910   0.6980   2.2585  -7.9618  -7.0856   1.9682   1.6296   0.4943  -0.8047  -2.9181  -5.3696  -7.0359  -7.2989   2.0225   1.7165   0.5784  -0.5840  -0.8229  -3.1676   1.9516   1.9481   1.0783   0.5452  -0.4629  -1.0244  -2.9160   2.3622   2.0151   1.5939   0.5477  -0.4930  -2.4839  -2.2601  -2.4606  -2.9159  -3.4202  -3.9912   5.2288   4.8355  -1.3636  -2.0324  -2.6434  -3.1985   3.3410   2.2559   2.0424   0.6878   1.2986   2.1214   0.5142   0.1566   0.1468   0.6004   0.0867  -1.9303
31.33 0.00755  2.00   2.7907   1.6722   1.7177  -0.0524  -1.0855  -2.3279  -4.7768  -6.0117  -6.3911  -6.6613  -6.8345   0.1345   2.8032   1.0331   0.7569   0.5195   0.9892   2.6495  -7.1015  -6.3557   2.7466   1.6658  -0.0847  -1.3899  -2.8582  -4.7410  -6.3101  -6.5539   2.8048   1.8286  -0.0001  -1.2254  -1.4065  -3.0204   2.6463   2.5018   0.7091  -0.0341  -1.1165  -1.5741  -2.8897   3.6900   2.7947   1.5464  -0.0302  -1.1339  -2.5433  -2.3986  -2.5465  -2.8606  -3.2017  -3.5961   6.2594   5.3525  -1.8387  -2.3034  -2.7100  -3.0597   6.0305   3.3681   2.8466   0.9789   3.1838   2.8032  -0.0730   0.1267   0.1359   0.0233  -0.5636  -2.1939
31.52 0.00755  5.00   3.4422   2.1060   2.1524   0.3787  -0.6892  -2.0282  -4.1707  -5.4127  -5.7385  -6.0134  -6.0949   0.1553   2.8416   1.0679   0.8357   0.5456   1.0482   2.6779  -6.3068  -5.7477   3.3915   2.1003   0.3462  -1.0213  -2.5037  -4.1612  -5.7050  -5.9477   3.4990   2.2686   0.4312  -0.8327  -1.0407  -2.6475   3.2724   2.9885   1.1495   0.3979  -0.7206  -1.2072  -2.5666   4.7234   3.4431   1.9842   0.4027  -0.7391  -2.2045  -2.0681  -2.2208  -2.5158  -2.8080  -3.1200   6.9696   5.8348  -1.5064  -2.0043  -2.4071  -2.6960   7.9359   4.2284   3.5490   1.0362   4.3869   2.8416   0.3601   0.1153   0.1304   0.4552  -0.1435  -1.8736
31.74 0.00755 10.00   3.6629   2.2923   2.3372   0.6207  -0.4331  -1.8448  -3.9413  -5.1710  -5.4759  -5.7515  -5.8011   0.1804   2.7702   1.0538   0.9033   0.5778   1.1097   2.7987  -6.0028  -5.4998   3.6069   2.2853   0.5877  -0.7765  -2.3323  -3.9390  -5.4592  -5.7043   3.7556   2.4513   0.6723  -0.5699  -0.7938  -2.4812   3.4766   3.1573   1.3696   0.6396  -0.4554  -0.9610  -2.4099   5.2830   3.6635   2.1765   0.6442  -0.4816  -2.0254  -1.8830  -2.0445  -2.3507  -2.6425  -2.9355   7.2045   6.0033  -1.2764  -1.8137  -2.2506  -2.5362   9.4970   4.6022   3.8126   1.0955   5.6845   2.7702   0.6031   0.1190   0.1355   0.6958   0.1118  -1.6778
40.23 0.01940  1.00   2.2546   1.9778   1.9996   0.8787   0.0103  -1.3692  -5.3500  -6.5759  -7.1165  -7.3802  -7.7108   0.1040   1.9894   0.8684   0.5713   0.3899   0.7431   2.3542  -7.9985  -6.9939   2.2179   1.9513   0.8438  -0.2890  -2.2643  -5.2378  -6.9436  -7.2144   2.2198   2.0366   0.9231  -0.1081  -0.2999  -2.5125   2.1849   2.3027   1.4030   0.8927  -0.0136  -0.4651  -2.1648   2.7834   2.2631   1.9055   0.8951  -0.0330  -1.8092  -1.5751  -1.7556  -2.2181  -2.7733  -3.4887   5.5420   5.1845  -0.7547  -1.3196  -1.8697  -2.4833   4.8005   2.5669   2.2396   0.7396   2.5609   1.9894   0.8614   0.1740   0.1588   0.9423   0.4761  -1.2417
40.33 0.01940  2.00   3.3058   2.2659   2.3099   0.5764  -0.4750  -1.8471  -4.7919  -5.9363  -6.4191  -6.6851  -6.9513   0.1719   2.7849   1.0515   0.8124   0.5282   1.0176   2.8026  -7.2646  -6.3327   3.2686   2.2585   0.5444  -0.8036  -2.4432  -4.7153  -6.2890  -6.5429   3.2780   2.4125   0.6273  -0.6008  -0.8202  -2.6176   3.1855   3.0839   1.3440   0.5938  -0.4992  -0.9758  -2.4496   4.2157   3.3093   2.1395   0.5996  -0.5218  -2.0966  -1.9301  -2.0914  -2.4323  -2.8100  -3.2947   6.7766   5.9458  -1.2916  -1.8164  -2.2546  -2.6321   7.6635   3.8397   3.3119   1.0066   4.3516   2.7849   0.5541   0.1472   0.1527   0.6497   0.0685  -1.6959
40.52 0.01940  5.00   4.1445   2.7549   2.8013   1.0611   0.0230  -1.4730  -4.2193  -5.3757  -5.7940  -6.0681  -6.2133   0.2120   2.7783   1.0381   0.9189   0.5739   1.1090   2.9300  -6.4872  -5.7715   4.1002   2.7496   1.0288  -0.3230  -2.1100  -4.1815  -5.7297  -5.9748   4.1622   2.9138   1.1110  -0.0921  -0.3351  -2.3013   3.9994   3.6896   1.8230   1.0777   0.0149  -0.4998  -2.1432   5.3839   4.1399   2.6236   1.0840  -0.0217  -1.7499  -1.5704  -1.7472  -2.1136  -2.5038  -2.9442   7.7026   6.5508  -0.8336  -1.4276  -1.9375  -2.3388   9.5911   4.8721   4.2023   1.0955   5.3888   2.7783   1.0390   0.1400   0.1549   1.1327   0.5659  -1.3108
40.74 0.01940 10.00   4.5118   2.9488   2.9950   1.2943   0.2945  -1.1790  -4.0381  -5.1871  -5.5969  -5.8740  -5.9843   0.2449   2.7005   0.9998   0.9945   0.5996   1.1673   3.0712  -6.2470  -5.5893   4.4602   2.9434   1.2615  -0.0429  -1.8646  -4.0067  -5.5467  -5.7874   4.5789   3.1092   1.3437   0.1842  -0.0524  -2.0683   4.3509   3.9112   2.0328   1.3105   0.2871  -0.2137  -1.8716   6.1654   4.5013   2.8199   1.3162   0.2514  -1.4912  -1.3024  -1.4788  -1.8610  -2.2828  -2.7681   8.1209   6.7722  -0.5390  -1.1313  -1.6497  -2.0969  11.3095   5.4426   4.6226   1.1536   6.6869   2.7005   1.2732   0.1466   0.1616   1.3649   0.8181  -1.0268
41.23 0.03075  1.00   2.4051   2.1236   2.1466   1.0189   0.1712  -1.1619  -5.2652  -6.4879  -7.0962  -7.3697  -7.7089   0.1218   1.9754   0.8477   0.6328   0.3965   0.7762   2.3802  -8.0137  -6.9654   2.3699   2.0985   0.9840  -0.1208  -2.0157  -5.1422  -6.9146  -7.1968   2.3604   2.1834   1.0625   0.0603  -0.1302  -2.2461   2.3221   2.4749   1.5375   1.0321   0.1487  -0.2840  -1.9203   3.0476   2.4162   2.0456   1.0351   0.1298  -1.5712  -1.3454  -1.5198  -1.9626  -2.4948  -3.2070   5.7311   5.3481  -0.5721  -1.1183  -1.6412  -2.2127   5.7086   2.7711   2.3836   0.7739   3.3250   1.9754   1.0008   0.1823   0.1689   1.0812   0.6270  -1.0315
41.33 0.03075  2.00   3.5611   2.5292   2.5725   0.8782  -0.1497  -1.5889  -4.7687  -5.8899  -6.4373  -6.7063  -7.0087   0.1918   2.7221   1.0279   0.8498   0.5346   1.0350   2.8648  -7.3378  -6.3276   3.5251   2.5213   0.8460  -0.4849  -2.2235  -4.6728  -6.2842  -6.5507   3.5263   2.6725   0.9286  -0.2618  -0.4980  -2.4040   3.4435   3.3415   1.6262   0.8933  -0.1598  -0.6540  -2.2332   4.5068   3.5672   2.4019   0.9006  -0.1937  -1.8604  -1.6813  -1.8511  -2.2103  -2.6013  -3.0978   7.0313   6.2038  -0.9846  -1.5512  -2.0302  -2.4184   8.5431   4.1018   3.5590   1.0234   4.9841   2.7221   0.8540   0.1674   0.1709   0.9501   0.3899  -1.4298
