 extinction:   0.   HB life, lum:    1.05000  0.
 pcol      Ux    Bx      B       V      Rc      Ic     J       H       K       L      Lprime    M       U-B     B-V    V-R    V-I    V-J     V-H     V-K    V-L     V-Lprime    V-M
31.23   0.923   0.821   0.831   0.369   0.062  -0.329  -1.107  -1.733  -1.890  -2.039  -2.097  -2.130   0.102   0.462   0.307   0.698   1.475   2.102   2.258   2.408   2.466   2.499
31.33   1.436   1.269   1.287   0.530   0.060  -0.459  -1.300  -1.993  -2.120  -2.266  -2.282  -2.202   0.167   0.757   0.470   0.989   1.829   2.523   2.649   2.795   2.812   2.732
31.52   1.594   1.362   1.382   0.547   0.044  -0.502  -1.323  -2.016  -2.131  -2.275  -2.276  -2.190   0.232   0.836   0.503   1.048   1.870   2.563   2.678   2.821   2.823   2.737
31.74   1.816   1.485   1.508   0.605   0.073  -0.505  -1.363  -2.075  -2.194  -2.342  -2.342  -2.266   0.330   0.903   0.532   1.110   1.968   2.680   2.799   2.946   2.946   2.871
40.23   1.050   0.930   0.943   0.372   0.019  -0.371  -1.199  -1.808  -1.982  -2.128  -2.198  -2.222   0.120   0.571   0.353   0.743   1.571   2.180   2.354   2.500   2.570   2.594
40.33   1.631   1.380   1.400   0.587   0.098  -0.430  -1.366  -2.068  -2.215  -2.368  -2.399  -2.346   0.251   0.812   0.489   1.018   1.953   2.655   2.803   2.955   2.987   2.933
40.52   1.953   1.556   1.580   0.661   0.126  -0.448  -1.410  -2.129  -2.269  -2.425  -2.436  -2.378   0.397   0.919   0.535   1.109   2.071   2.790   2.930   3.086   3.097   3.039
40.74   2.239   1.704   1.731   0.736   0.168  -0.431  -1.451  -2.188  -2.335  -2.495  -2.506  -2.454   0.535   0.995   0.568   1.167   2.187   2.925   3.071   3.231   3.242   3.191
41.23   1.155   0.989   1.005   0.372  -0.008  -0.404  -1.233  -1.826  -2.008  -2.154  -2.219  -2.228   0.166   0.633   0.380   0.776   1.605   2.198   2.380   2.526   2.591   2.600
41.33   1.779   1.439   1.461   0.611   0.111  -0.424  -1.399  -2.086  -2.254  -2.409  -2.446  -2.401   0.340   0.850   0.500   1.035   2.010   2.697   2.865   3.020   3.057   3.013
41.52   2.218   1.679   1.705   0.733   0.177  -0.410  -1.461  -2.179  -2.343  -2.504  -2.523  -2.474   0.539   0.972   0.556   1.143   2.194   2.912   3.076   3.237   3.256   3.207
41.74   2.494   1.807   1.836   0.795   0.210  -0.395  -1.494  -2.225  -2.394  -2.556  -2.580  -2.535   0.687   1.041   0.585   1.190   2.289   3.019   3.189   3.351   3.375   3.330
