 pcol  [Fe/H]  Age    F284W   U       B       V      R       I       K       300w    336w    547m    555w    606w    814w   606W-814W  V-I  STIS_LP NIC_110 NIC_160 LP-160w
31.23  -0.35   1.00  -9.925 -10.337 -10.429 -10.891 -11.198 -11.589 -13.149 -10.098 -10.357 -10.898 -10.857 -11.032 -11.545   0.514   0.698 -11.307 -12.104 -12.893   1.586
31.33  -0.35   2.00  -8.720  -9.405  -9.554 -10.311 -10.781 -11.300 -12.960  -9.025  -9.445 -10.321 -10.264 -10.535 -11.243   0.708   0.989 -10.926 -11.864 -12.739   1.813
31.52  -0.35   5.00  -7.523  -8.382  -8.594  -9.430  -9.932 -10.478 -12.108  -7.911  -8.413  -9.441  -9.380  -9.671 -10.416   0.746   1.048 -10.084 -11.028 -11.901   1.817
31.74  -0.35  10.00  -6.591  -7.609  -7.917  -8.820  -9.352  -9.930 -11.619  -7.054  -7.621  -8.832  -8.769  -9.075  -9.864   0.789   1.110  -9.515 -10.509 -11.406   1.891
40.23   0.06   1.00  -9.403 -10.016 -10.123 -10.694 -11.047 -11.437 -13.048  -9.679 -10.057 -10.703 -10.656 -10.860 -11.396   0.536   0.743 -11.154 -11.983 -12.777   1.623
40.33   0.06   2.00  -8.134  -8.984  -9.216 -10.028 -10.518 -11.046 -12.831  -8.528  -9.027 -10.040  -9.982 -10.262 -10.988   0.726   1.018 -10.669 -11.680 -12.585   1.916
40.52   0.06   5.00  -6.831  -7.860  -8.233  -9.152  -9.687 -10.261 -12.082  -7.316  -7.896  -9.165  -9.103  -9.409 -10.199   0.790   1.109  -9.855 -10.921 -11.846   1.990
40.74   0.06  10.00  -5.843  -7.030  -7.539  -8.533  -9.101  -9.701 -11.605  -6.410  -7.056  -8.548  -8.484  -8.808  -9.637   0.829   1.167  -9.281 -10.407 -11.359   2.078
41.23   0.26   1.00  -9.083  -9.820  -9.971 -10.603 -10.983 -11.380 -12.984  -9.418  -9.858 -10.613 -10.564 -10.784 -11.338   0.554   0.776 -11.090 -11.924 -12.709   1.619
41.33   0.26   2.00  -7.802  -8.751  -9.069  -9.919 -10.419 -10.954 -12.784  -8.244  -8.788  -9.932  -9.873 -10.159 -10.896   0.737   1.035 -10.574 -11.618 -12.520   1.946
41.52   0.26   5.00  -6.381  -7.534  -8.046  -9.019  -9.575 -10.162 -12.095  -6.925  -7.558  -9.034  -8.970  -9.287 -10.100   0.813   1.143  -9.752 -10.891 -11.834   2.082
41.74   0.26  10.00  -5.361  -6.689  -7.348  -8.388  -8.974  -9.578 -11.577  -5.994  -6.697  -8.405  -8.339  -8.673  -9.516   0.843   1.190  -9.159 -10.344 -11.309   2.150
