 pcol   Z      age    B-Rj     U-V      B-V      V-R      V-I      V-J      V-K      J-K      J-L
31.23 0.00755  1.00   0.8510   0.5600   0.4559   0.3951   0.8173   1.4432   2.2094   0.7662   0.8830
31.33 0.00755  2.00   1.3386   0.9159   0.7480   0.5905   1.1260   1.8073   2.6229   0.8156   0.9260
31.52 0.00755  5.00   1.4564   1.0568   0.8261   0.6303   1.1828   1.8507   2.6598   0.8092   0.9168
31.74 0.00755 10.00   1.5599   1.2188   0.8929   0.6670   1.2537   1.9488   2.7818   0.8330   0.9452
40.23 0.01940  1.00   1.0084   0.6867   0.5645   0.4439   0.8632   1.5353   2.2991   0.7639   0.8786
40.33 0.01940  2.00   1.4150   1.0540   0.8032   0.6119   1.1695   1.9261   2.7686   0.8425   0.9612
40.52 0.01940  5.00   1.5765   1.3026   0.9083   0.6682   1.2736   2.0479   2.9067   0.8587   0.9792
40.74 0.01940 10.00   1.6901   1.5132   0.9829   0.7072   1.3460   2.1640   3.0474   0.8835   1.0071
41.23 0.03075  1.00   1.0985   0.7924   0.6256   0.4729   0.8947   1.5698   2.3274   0.7577   0.8724
41.33 0.03075  2.00   1.4640   1.1778   0.8402   0.6238   1.1943   1.9805   2.8277   0.8472   0.9704
41.52 0.03075  5.00   1.6527   1.4946   0.9612   0.6915   1.3264   2.1685   3.0491   0.8806   1.0064
41.74 0.03075 10.00   1.7545   1.7068   1.0287   0.7258   1.3825   2.2623   3.1593   0.8971   1.0225
