( Z, Y, Age) = 0.007549   0.249   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.0000E+00   0.000
 12.50  0.0000E+00   0.000     16.50  0.0000E+00   0.000     12.50  0.0000E+00   0.000
 12.25  0.0000E+00   0.000     16.25  0.0000E+00   0.000     12.25  0.0000E+00   0.000
 12.00  0.0000E+00   0.000     16.00  0.0000E+00   0.000     12.00  0.0000E+00   0.000
 11.75  0.0000E+00   0.000     15.75  0.0000E+00   0.000     11.75  0.0000E+00   0.000
 11.50  0.0000E+00   0.000     15.50  0.0000E+00   0.000     11.50  0.0000E+00   0.000
 11.25  0.0000E+00   0.000     15.25  0.0000E+00   0.000     11.25  0.0000E+00   0.000
 11.00  0.0000E+00   0.000     15.00  0.0000E+00   0.000     11.00  0.0000E+00   0.000
 10.75  0.0000E+00   0.000     14.75  0.0000E+00   0.000     10.75  0.0000E+00   0.000
 10.50  0.0000E+00   0.000     14.50  0.0000E+00   0.000     10.50  0.0000E+00   0.000
 10.25  0.0000E+00   0.000     14.25  0.0000E+00   0.000     10.25  0.0000E+00   0.000
 10.00  0.0000E+00   0.000     14.00  0.0000E+00   0.000     10.00  0.0000E+00   0.000
  9.75  0.0000E+00   0.000     13.75  0.0000E+00   0.000      9.75  0.0000E+00   0.000
  9.50  0.0000E+00   0.000     13.50  0.0000E+00   0.000      9.50  0.0000E+00   0.000
  9.25  0.0000E+00   0.000     13.25  0.0000E+00   0.000      9.25  0.0000E+00   0.000
  9.00  0.0000E+00   0.000     13.00  0.0000E+00   0.000      9.00  0.9718E+04   3.988
  8.75  0.0000E+00   0.000     12.75  0.0000E+00   0.000      8.75  0.1684E+05   4.226
  8.50  0.0000E+00   0.000     12.50  0.0000E+00   0.000      8.50  0.2133E+05   4.329
  8.25  0.0000E+00   0.000     12.25  0.0000E+00   0.000      8.25  0.1516E+05   4.181
  8.00  0.1251E+05   4.097     12.00  0.0000E+00   0.000      8.00  0.1430E+05   4.155
  7.75  0.2628E+05   4.420     11.75  0.0000E+00   0.000      7.75  0.1036E+05   4.016
  7.50  0.2068E+05   4.315     11.50  0.0000E+00   0.000      7.50  0.1167E+05   4.067
  7.25  0.1974E+05   4.295     11.25  0.0000E+00   0.000      7.25  0.1048E+05   4.020
  7.00  0.1595E+05   4.203     11.00  0.0000E+00   0.000      7.00  0.1030E+05   4.013
  6.75  0.1464E+05   4.166     10.75  0.0000E+00   0.000      6.75  0.9819E+04   3.992
  6.50  0.1395E+05   4.144     10.50  0.0000E+00   0.000      6.50  0.9771E+04   3.990
  6.25  0.1259E+05   4.100     10.25  0.0000E+00   0.000      6.25  0.9475E+04   3.977
  6.00  0.1187E+05   4.074     10.00  0.0000E+00   0.000      6.00  0.9208E+04   3.964
  5.75  0.1092E+05   4.038      9.75  0.0000E+00   0.000      5.75  0.9291E+04   3.968
  5.50  0.1033E+05   4.014      9.50  0.0000E+00   0.000      5.50  0.8709E+04   3.940
  5.25  0.9808E+04   3.992      9.25  0.0000E+00   0.000      5.25  0.8401E+04   3.924
  5.00  0.8639E+04   3.936      9.00  0.5618E+04   3.750      5.00  0.8044E+04   3.905
  4.75  0.8187E+04   3.913      8.75  0.1476E+05   4.169      4.75  0.7558E+04   3.878
  4.50  0.7810E+04   3.893      8.50  0.2125E+05   4.327      4.50  0.7103E+04   3.851
  4.25  0.7148E+04   3.854      8.25  0.1652E+05   4.218      4.25  0.6596E+04   3.819
  4.00  0.6526E+04   3.815      8.00  0.1472E+05   4.168      4.00  0.6148E+04   3.789
  3.75  0.6397E+04   3.806      7.75  0.1241E+05   4.094      3.75  0.6053E+04   3.782
  3.50  0.5812E+04   3.764      7.50  0.1082E+05   4.034      3.50  0.5479E+04   3.739
  3.25  0.5748E+04   3.760      7.25  0.1065E+05   4.027      3.25  0.5453E+04   3.737
  3.00  0.5442E+04   3.736      7.00  0.1116E+05   4.048      3.00  0.5119E+04   3.709
  2.75  0.5157E+04   3.712      6.75  0.9914E+04   3.996      2.75  0.4968E+04   3.696
  2.50  0.4926E+04   3.693      6.50  0.9655E+04   3.985      2.50  0.4574E+04   3.660
  2.25  0.4410E+04   3.644      6.25  0.9462E+04   3.976      2.25  0.4675E+04   3.670
  2.00  0.4362E+04   3.640      6.00  0.9694E+04   3.986      2.00  0.3997E+04   3.602
  1.75  0.3135E+04   3.496      5.75  0.9039E+04   3.956      1.75  0.2936E+04   3.468
  1.50  0.3604E+04   3.557      5.50  0.9092E+04   3.959      1.50  0.3688E+04   3.567
  1.25  0.3395E+04   3.531      5.25  0.8631E+04   3.936      1.25  0.3371E+04   3.528
  1.00  0.1905E+04   3.280      5.00  0.7951E+04   3.900      1.00  0.3571E+04   3.553
  0.75  0.1977E+04   3.296      4.75  0.7635E+04   3.883      0.75  0.2081E+04   3.318
  0.50  0.2164E+04   3.335      4.50  0.7176E+04   3.856      0.50  0.1286E+04   3.109
  0.25  0.1319E+04   3.120      4.25  0.6824E+04   3.834      0.25  0.2989E+03   2.476
  0.00  0.4122E+03   2.615      4.00  0.6461E+04   3.810      0.00  0.1125E+03   2.051
 -0.25  0.1189E+03   2.075      3.75  0.5850E+04   3.767     -0.25  0.2412E+03   2.382
 -0.50  0.1321E+03   2.121      3.50  0.5896E+04   3.771     -0.50  0.1336E+03   2.126
 -0.75  0.2010E+03   2.303      3.25  0.5330E+04   3.727     -0.75  0.9081E+02   1.958
 -1.00  0.1070E+03   2.029      3.00  0.5285E+04   3.723     -1.00  0.2817E+02   1.450
 -1.25  0.7935E+02   1.900      2.75  0.5068E+04   3.705     -1.25  0.1773E+02   1.249
 -1.50  0.3523E+02   1.547      2.50  0.4718E+04   3.674     -1.50  0.1363E+02   1.134
 -1.75  0.1554E+02   1.191      2.25  0.4623E+04   3.665     -1.75  0.1213E+02   1.084
 -2.00  0.1075E+02   1.031      2.00  0.4156E+04   3.619     -2.00  0.1603E+02   1.205
 -2.25  0.7555E+01   0.878      1.75  0.2989E+04   3.476     -2.25  0.1732E+02   1.239
 -2.50  0.6721E+01   0.827      1.50  0.3585E+04   3.554     -2.50  0.5297E+00  -0.276
