  pcol   Z       age   %lost  Hd/4045  Hd/4063  Sr/4045  Sr/4063   pGband  Hg/4325 4289/271  4384/352 P[Fe/H]   Ca II   3888/859 p(220)/p(209) HgamHR CaIHR 4045HR   HdelHR   LickHdA  LickHdF  Ca4227   G4300    LickHgA  LickHgF  Fe4383   CN_1     CN_2     Hbeta    Fe5015     Mg1     Mg2      Mgb     Fe5270   Fe5335   Fe5406  DBalmer
 31.23 0.00755   1.00000   0.01  0.56985  0.58972  0.92109  0.95322  0.07859  0.68906  0.97357  1.16764  0.99892  0.65766  0.54818  0.98518  1.35506  0.25297  0.17734  1.69694 -0.17484 -0.01503  0.07200  0.52448 -1.15718 -0.13236  0.64076  0.00525  0.00957 -0.73727-14.77713 -0.18148 -0.13874  0.14645  0.92795 -1.88992 -0.03448  1.50992
 31.33 0.00755   2.00000   0.00  0.81605  0.81270  0.98976  0.98569  0.48691  0.84453  0.98572  0.95775  1.08142  0.99532  0.77123  1.00990  1.12280  0.67343  0.46739  1.22377 -1.08164 -0.03854  0.38584  2.73664 -2.76397 -0.64825  3.16448  0.02508  0.04804  0.04964 -2.25523 -0.05733  0.01945  1.37201  2.36051  0.86003  0.88731  1.42055
 31.52 0.00755   5.00000   0.00  0.93159  0.92352  1.00825  0.99951  0.60871  0.93847  0.97674  0.89269  1.11903  1.15465  0.87287  1.00692  0.97528  0.80612  0.56120  1.03237 -1.24897 -0.05532  0.44401  2.90167 -3.01602 -0.73070  3.32834  0.02552  0.05054 -1.37007  0.44086 -0.06633  0.03796  1.39607  3.68809  1.40371  0.84318  1.38500
 31.74 0.00755  10.00000   0.00  1.01460  1.00227  1.02707  1.01459  0.79779  1.01251  0.98447  0.84983  1.14771  1.22011  0.96393  1.00724  0.90015  0.95023  0.66806  0.95067 -1.43546 -0.05182  0.54661  3.31007 -3.38556 -0.85613  3.77094  0.02511  0.05448 -2.53078  2.17276 -0.06993  0.05531  1.52044  4.42127  1.82610  0.86880  1.38663
 40.23 0.01940   1.00000   0.02  0.67546  0.69064  0.94494  0.96618  0.13245  0.73626  0.96086  1.05311  1.05060  0.95415  0.63436  0.99224  1.27414  0.43793  0.28946  1.47317 -0.48246 -0.03505  0.11980  0.83282 -1.50450 -0.24236  1.20310  0.01435  0.02118 -2.07288 -9.04677 -0.15662 -0.08573  0.52241  1.77309 -0.84211  0.03868  1.49406
 40.33 0.01940   2.00000   0.02  0.86416  0.86534  0.98903  0.99038  0.46995  0.88365  0.95990  0.90482  1.11672  1.17620  0.80399  1.01171  1.09551  0.79467  0.53100  1.16294 -1.33306 -0.13119  0.37759  2.31673 -2.93025 -0.73560  3.30660  0.04229  0.06312 -1.41269 -1.17550 -0.08324  0.02312  1.32926  3.67388  1.35080  0.93235  1.43439
 40.52 0.01940   5.00000   0.01  0.98631  0.98427  1.02808  1.02595  0.71663  0.99464  0.98165  0.83317  1.16644  1.22772  0.93730  1.01761  0.98537  1.01769  0.70852  1.05750 -1.75362 -0.15245  0.52974  2.95330 -3.59746 -0.97663  4.11880  0.04999  0.07756 -3.22420  1.68086 -0.07318  0.06299  1.58946  4.67303  2.07396  1.01681  1.40148
 40.74 0.01940  10.00000   0.00  1.07980  1.07050  1.06901  1.05979  0.99044  1.06972  1.01440  0.78865  1.20266  1.23746  1.05875  1.02737  0.94561  1.22814  0.88296  1.03354 -2.25396 -0.18356  0.70770  3.70257 -4.33168 -1.24085  5.08373  0.06047  0.09623 -3.93573  3.45736 -0.04977  0.10069  1.96269  4.91937  2.58298  1.20488  1.40107
 41.23 0.03075   1.00000   0.02  0.72042  0.73114  0.95321  0.96740  0.24854  0.76448  0.95463  1.00587  1.06980  1.09063  0.68051  1.00333  1.26527  0.58716  0.38547  1.38925 -0.90100 -0.07621  0.21538  1.47105 -2.10775 -0.45182  2.25620  0.03376  0.04578 -0.54169 -6.61009 -0.12726 -0.05372  0.97630  2.07764 -0.09227  0.47286  1.48964
 41.33 0.03075   2.00000   0.02  0.88215  0.88964  0.99017  0.99857  0.47096  0.89926  0.95181  0.88077  1.13564  1.21843  0.83247  1.01459  1.09151  0.86060  0.56234  1.16352 -1.36795 -0.14051  0.38165  2.16416 -3.01759 -0.76537  3.36120  0.04915  0.06904 -2.86194 -0.71922 -0.09890  0.02683  1.32059  4.24899  1.55662  0.89024  1.44080
 41.52 0.03075   5.00000   0.01  1.01508  1.01850  1.04690  1.05042  0.78036  1.01310  0.99263  0.80560  1.19440  1.23992  0.97837  1.02838  1.00377  1.14303  0.79739  1.10042 -2.01854 -0.17733  0.60994  3.04871 -3.99077 -1.11247  4.62694  0.06537  0.09505 -4.42882  2.37492 -0.06557  0.08822  1.84027  4.96096  2.42460  1.13320  1.40520
 41.74 0.03075  10.00000   0.02  1.10852  1.10511  1.09310  1.08974  1.00405  1.08019  1.02688  0.76552  1.23273  1.24201  1.09429  1.03715  0.96857  1.35169  0.97039  1.09247 -2.51253 -0.20401  0.79185  3.62817 -4.66973 -1.35090  5.47714  0.07602  0.11304 -5.15424  3.95645 -0.03805  0.12917  2.24851  5.15552  2.88147  1.29431  1.39809
