pcol   Z        age    Mu       Mb       Mv       Mr       Mi       Mj       Mh       Mk       Ml       Mlp      Mm       Mg2      Vb-Ib    Rb-Ib    B-V      R-I      V-I      V-K     KzUbar   KzBbar   KzVbar   KzR_Jbar KzI_Jbar KzJbar   KzHbar   KzKbar   336W     439W     555W     675W     702W     785LP    368M     413M     492M     547M     648M     718M     875M     284W     tonryU   tonryB   tonryV   tonryR   tonryI   RG695v   RG9r     RG780i   RG850    RG1000  sq750    sq800    sq850    sq900    160W     300W     336W     546W     555W     606W     814W (555-814)ord (555-814)SBF (V-I)SBF Kp_bar H-K     H-Kp    STIS_LPbar  NIC_110wbar  NIC_160Wbar
30.23 0.00534  1.00   1.8608   1.6031   1.6173   0.7414   0.0052  -0.8108  -2.0433  -3.1282  -3.2670  -3.4366  -3.4303   0.0555   1.6121   0.7362   0.3399   0.2850   0.5181   1.4253  -3.0217  -3.3046   1.8154   1.5690   0.7046  -0.2187  -1.0542  -2.0673  -3.2909  -3.4276   1.8839   1.6394   0.7858  -0.1283  -0.2293  -1.1041   1.8208   1.7837   1.1631   0.7528  -0.0427  -0.3876  -1.1012   2.0631   1.8613   1.5565   0.7549  -0.0377  -0.8727  -0.8088  -0.8937  -1.0539  -1.1819  -1.3052   5.0256   4.6816  -0.5519  -0.8195  -1.0208  -1.1340   2.3964   2.0163   1.8994   0.5107   0.4970   1.6121   0.7277   0.0639   0.0676   0.8046   0.3959  -0.7212
30.33 0.00534  2.00   2.4135   1.5942   1.6328   0.0569  -0.8684  -1.7892  -3.1327  -4.2701  -4.4286  -4.6052  -4.6005   0.1057   2.5012   0.9253   0.6804   0.4573   0.8820   2.2071  -4.1982  -4.4696   2.3676   1.5818   0.0234  -1.1212  -2.0681  -3.1613  -4.4508  -4.5951   2.4393   1.7221   0.1081  -1.0078  -1.1348  -2.1301   2.2636   2.2471   0.7249   0.0725  -0.9076  -1.2944  -2.1171   3.2000   2.4210   1.4839   0.0760  -0.9144  -1.8692  -1.7947  -1.8897  -2.0689  -2.2184  -2.3626   5.8349   5.0986  -1.4862  -1.7946  -2.0245  -2.1649   4.8392   2.9476   2.4862   0.8749   2.3529   2.5012   0.0374   0.0847   0.0960   0.1306  -0.4046  -1.6895
30.52 0.00534  5.00   2.7472   1.6670   1.7085   0.0376  -1.0251  -2.2360  -3.8080  -5.0303  -5.2270  -5.4367  -5.4407   0.1412   2.7336   1.0627   0.8532   0.5590   1.0747   2.6620  -5.3221  -5.2741   2.6937   1.6570   0.0044  -1.3466  -2.5775  -3.8306  -5.2444  -5.4215   2.8230   1.8119   0.0899  -1.1818  -1.3693  -2.6663   2.5565   2.4168   0.7819   0.0566  -1.0712  -1.5335  -2.6462   4.1538   2.7545   1.5625   0.0624  -1.0773  -2.3374  -2.2376  -2.3644  -2.5878  -2.7742  -2.9514   6.2496   5.2572  -1.8083  -2.2314  -2.5326  -2.7084   7.1358   3.6008   2.8871   1.0622   4.2487   2.7336   0.0209   0.1082   0.1249   0.1143  -0.4862  -2.0947
30.74 0.00534 10.00   2.6790   1.8754   1.9111   0.4414  -0.4923  -1.5585  -3.0594  -4.2784  -4.4685  -4.6743  -4.6768   0.1517   2.4034   0.9337   0.8705   0.5389   1.0499   2.5514  -4.5539  -4.5177   2.6251   1.8605   0.4072  -0.7740  -1.8768  -3.0832  -4.4869  -4.6600   2.7535   1.9967   0.4903  -0.6331  -0.7897  -1.9564   2.4919   2.4996   1.0859   0.4576  -0.5327  -0.9446  -1.9383   4.0988   2.6910   1.7795   0.4617  -0.5392  -1.6516  -1.5612  -1.6763  -1.8836  -2.0578  -2.2253   6.1188   5.3461  -1.1805  -1.5567  -1.8325  -1.9960   8.8430   3.5038   2.8202   1.0404   6.0228   2.4034   0.4250   0.1030   0.1149   0.5122  -0.0162  -1.4326
30.91 0.00534 15.00   2.0872   1.7423   1.7668   0.5062  -0.4283  -1.5711  -3.1446  -4.3724  -4.5702  -4.7833  -4.7887   0.1648   2.1951   0.9345   0.8348   0.5549   1.0677   2.6396  -4.7756  -4.6200   2.0341   1.7181   0.4715  -0.7243  -1.9108  -3.1651  -4.5871  -4.7671   2.1447   1.8277   0.5540  -0.5697  -0.7412  -2.0001   1.9762   2.1256   1.1099   0.5226  -0.4672  -0.8974  -1.9796   2.7313   2.1035   1.6775   0.5262  -0.4758  -1.6721  -1.5734  -1.6986  -1.9212  -2.1085  -2.2871   5.2727   5.0105  -1.1539  -1.5650  -1.8673  -2.0424   4.9153   2.5129   2.1757   1.0533   2.7396   2.1951   0.4915   0.1130   0.1257   0.5755   0.0559  -1.4328
40.23 0.01690  1.00   2.1704   1.8272   1.8503   0.7111  -0.0789  -0.9516  -2.3377  -3.4538  -3.5968  -3.7901  -3.7888   0.1623   1.9292   0.7900   0.7272   0.4651   0.9183   2.3482  -3.5531  -3.6390   2.1309   1.8017   0.6761  -0.3095  -1.2436  -2.3620  -3.6179  -3.7783   2.1520   1.8879   0.7536  -0.1942  -0.3168  -1.3107   2.1155   2.1642   1.2339   0.7223  -0.1193  -0.4491  -1.2885   2.5726   2.1763   1.7484   0.7270  -0.1187  -1.0390  -0.9589  -1.0593  -1.2416  -1.4086  -1.5713   5.4027   5.0506  -0.6468  -0.9513  -1.1861  -1.3482   4.1290   2.4255   2.1681   0.9101   1.9609   1.9292   0.6920   0.0731   0.0898   0.7718   0.3293  -0.8486
40.33 0.01690  2.00   2.9846   1.9992   2.0384   0.5515  -0.3192  -1.3445  -2.8481  -3.9777  -4.1569  -4.3679  -4.3706   0.2112   2.3576   0.8706   0.9561   0.5498   1.0995   2.7039  -4.3304  -4.2025   2.9478   1.9876   0.5175  -0.5805  -1.6763  -2.8686  -4.1777  -4.3546   2.9604   2.1211   0.5970  -0.4358  -0.5902  -1.7611   2.8594   2.7363   1.1807   0.5649  -0.3551  -0.7235  -1.7367   3.9474   2.9842   1.8800   0.5703  -0.3605  -1.4467  -1.3509  -1.4704  -1.6819  -1.8705  -2.0492   6.5007   5.5963  -0.9622  -1.3368  -1.6247  -1.8033   6.8941   3.5678   3.0006   1.0903   3.8936   2.3576   0.5314   0.0845   0.1043   0.6168   0.1276  -1.2173
40.52 0.01690  5.00   3.5991   2.3244   2.3648   0.8891   0.0192  -1.2131  -3.1083  -4.2499  -4.5243  -4.7762  -4.7915   0.2502   2.3456   0.8699   1.0736   0.6238   1.2280   3.0259  -5.0026  -4.5681   3.5538   2.3138   0.8548  -0.2705  -1.6672  -3.1164  -4.5356  -4.7531   3.6342   2.4520   0.9338  -0.0894  -0.2772  -1.8031   3.4437   3.1331   1.5084   0.9021  -0.0008  -0.4227  -1.7417   5.1846   3.5885   2.2036   0.9078  -0.0209  -1.3803  -1.2482  -1.3992  -1.6839  -1.9532  -2.2114   7.2378   5.9923  -0.6964  -1.1833  -1.5970  -1.8568   9.3403   4.4989   3.6878   1.2130   5.6526   2.3456   0.8697   0.1071   0.1294   0.9532   0.4743  -1.0606
40.74 0.01690 10.00   3.7988   2.5074   2.5471   1.0980   0.2422  -1.0524  -3.4373  -4.5889  -4.9369  -5.2047  -5.2552   0.2602   2.3049   0.8558   1.0992   0.6457   1.2601   3.1642  -5.5108  -4.9624   3.7516   2.4962   1.0635  -0.0525  -1.6327  -3.4287  -4.9203  -5.1541   3.8485   2.6344   1.1428   0.1372  -0.0570  -1.8092   3.6395   3.3063   1.7029   1.1112   0.2259  -0.2079  -1.6693   5.6865   3.7875   2.3901   1.1162   0.2029  -1.3014  -1.1401  -1.3025  -1.6397  -1.9988  -2.3827   7.4572   6.1647  -0.4861  -1.0116  -1.4817  -1.8547  11.3619   4.7927   3.9037   1.2444   7.4582   2.3049   1.0795   0.1270   0.1477   1.1620   0.6922  -0.9076
40.91 0.01690 15.00   3.8950   2.6237   2.6630   1.2190   0.3646  -0.9227  -3.2470  -4.3949  -4.7311  -4.9942  -5.0448   0.2721   2.2984   0.8544   1.1125   0.6548   1.2774   3.1855  -5.2884  -4.7570   3.8477   2.6122   1.1844   0.0702  -1.4851  -3.2396  -4.7159  -4.9448   3.9428   2.7515   1.2644   0.2597   0.0654  -1.6559   3.7359   3.4131   1.8227   1.2329   0.3477  -0.0837  -1.5268   5.7904   3.8857   2.5095   1.2373   0.3252  -1.1601  -1.0029  -1.1636  -1.4932  -1.8404  -2.2090   7.5439   6.2699  -0.3618  -0.8830  -1.3454  -1.7029  12.7110   4.8732   3.9957   1.2600   8.7152   2.2984   1.2013   0.1290   0.1488   1.2839   0.8144  -0.7765
