 extinction:   0.   HB life, lum:    1.05000  0.
 pcol      Ux    Bx      B       V      Rc      Ic     J       H       K       L      Lprime    M       U-B     B-V    V-R    V-I    V-J     V-H     V-K    V-L     V-Lprime    V-M
30.23   0.596   0.527   0.534   0.195  -0.039  -0.324  -0.759  -1.167  -1.231  -1.331  -1.322  -1.257   0.068   0.340   0.233   0.518   0.954   1.361   1.425   1.526   1.517   1.451
30.33   1.168   1.030   1.045   0.365  -0.060  -0.517  -1.171  -1.757  -1.842  -1.962  -1.954  -1.813   0.138   0.680   0.425   0.882   1.536   2.122   2.207   2.327   2.319   2.178
30.52   1.626   1.379   1.399   0.546   0.030  -0.529  -1.316  -2.008  -2.116  -2.256  -2.251  -2.131   0.246   0.853   0.516   1.075   1.862   2.554   2.662   2.802   2.797   2.677
30.74   1.622   1.342   1.363   0.492  -0.019  -0.558  -1.306  -1.956  -2.059  -2.195  -2.190  -2.079   0.281   0.870   0.511   1.050   1.798   2.448   2.551   2.687   2.683   2.571
30.91   1.617   1.350   1.370   0.535   0.022  -0.533  -1.314  -1.991  -2.104  -2.250  -2.247  -2.151   0.267   0.835   0.513   1.068   1.849   2.527   2.640   2.785   2.782   2.686
40.23   1.400   1.123   1.140   0.413  -0.040  -0.505  -1.235  -1.862  -1.935  -2.057  -2.048  -1.867   0.278   0.727   0.453   0.918   1.648   2.275   2.348   2.470   2.461   2.279
40.33   1.944   1.498   1.522   0.566   0.017  -0.533  -1.363  -2.053  -2.137  -2.270  -2.262  -2.086   0.445   0.956   0.550   1.099   1.930   2.619   2.704   2.836   2.828   2.652
40.52   2.418   1.778   1.806   0.732   0.128  -0.495  -1.439  -2.186  -2.293  -2.442  -2.437  -2.309   0.641   1.074   0.604   1.228   2.171   2.919   3.026   3.174   3.170   3.042
40.74   2.587   1.873   1.903   0.803   0.189  -0.457  -1.469  -2.234  -2.361  -2.519  -2.520  -2.432   0.714   1.099   0.614   1.260   2.272   3.037   3.164   3.323   3.324   3.235
40.91   2.652   1.900   1.930   0.817   0.195  -0.460  -1.474  -2.239  -2.368  -2.528  -2.530  -2.448   0.753   1.112   0.623   1.277   2.291   3.057   3.186   3.346   3.348   3.266
41.23   1.990   1.469   1.493   0.548   0.001  -0.534  -1.371  -2.019  -2.112  -2.242  -2.233  -2.030   0.521   0.945   0.547   1.082   1.919   2.567   2.660   2.790   2.781   2.578
41.33   2.514   1.735   1.765   0.661   0.058  -0.532  -1.438  -2.120  -2.223  -2.361  -2.353  -2.167   0.779   1.104   0.604   1.193   2.100   2.781   2.884   3.023   3.015   2.828
41.52   3.058   2.015   2.049   0.843   0.194  -0.458  -1.507  -2.243  -2.375  -2.528  -2.528  -2.393   1.042   1.207   0.649   1.300   2.349   3.086   3.217   3.371   3.371   3.236
41.74   3.231   2.102   2.137   0.906   0.245  -0.425  -1.528  -2.280  -2.423  -2.582  -2.586  -2.474   1.130   1.230   0.661   1.332   2.434   3.186   3.329   3.489   3.492   3.380
41.91   3.272   2.121   2.155   0.927   0.266  -0.410  -1.536  -2.292  -2.445  -2.606  -2.617  -2.528   1.151   1.228   0.661   1.337   2.463   3.220   3.372   3.534   3.544   3.455
