 pcol  [Fe/H]  Age    F284W   U       B       V      R       I       K       300w    336w    547m    555w    606w    814w   606W-814W  V-I  STIS_LP NIC_110 NIC_160 LP-160w
30.23  -0.50   1.00 -10.133 -10.388 -10.449 -10.789 -11.022 -11.307 -12.214 -10.240 -10.411 -10.795 -10.763 -10.896 -11.273   0.377   0.518 -11.092 -11.577 -12.095   1.002
30.33  -0.50   2.00  -9.198  -9.771  -9.894 -10.574 -10.999 -11.456 -12.781  -9.443  -9.799 -10.584 -10.529 -10.776 -11.404   0.628   0.882 -11.117 -11.881 -12.622   1.505
30.52  -0.50   5.00  -8.025  -8.894  -9.121  -9.974 -10.490 -11.048 -12.636  -8.404  -8.900  -9.985  -9.922 -10.222 -10.984   0.763   1.075 -10.642 -11.572 -12.439   1.797
30.74  -0.50  10.00  -7.108  -8.136  -8.395  -9.266  -9.777 -10.316 -11.817  -7.560  -8.118  -9.277  -9.214  -9.512 -10.255   0.743   1.050  -9.922 -10.810 -11.631   1.709
30.91  -0.50  15.00  -6.762  -7.724  -7.972  -8.807  -9.319  -9.874 -11.446  -7.175  -7.699  -8.819  -8.758  -9.053  -9.811   0.758   1.068  -9.471 -10.394 -11.246   1.775
40.23   0.00   1.00  -9.606 -10.232 -10.492 -11.219 -11.673 -12.138 -13.568  -9.876 -10.250 -11.231 -11.177 -11.437 -12.087   0.650   0.918 -11.796 -12.618 -13.415   1.619
40.33   0.00   2.00  -8.514  -9.464  -9.885 -10.841 -11.391 -11.941 -13.545  -8.946  -9.482 -10.855 -10.790 -11.109 -11.881   0.772   1.099 -11.543 -12.498 -13.373   1.831
40.52   0.00   5.00  -7.128  -8.359  -8.971 -10.045 -10.649 -11.273 -13.071  -7.703  -8.354 -10.060  -9.992 -10.339 -11.204   0.865   1.228 -10.831 -11.920 -12.868   2.037
40.74   0.00  10.00  -6.120  -7.488  -8.172  -9.271  -9.885 -10.531 -12.435  -6.774  -7.478  -9.286  -9.217  -9.570 -10.462   0.892   1.260 -10.080 -11.233 -12.209   2.129
40.91   0.00  15.00  -5.423  -6.871  -7.594  -8.707  -9.329  -9.984 -11.892  -6.125  -6.859  -8.723  -8.653  -9.009  -9.913   0.904   1.277  -9.527 -10.687 -11.663   2.136
41.23   0.30   1.00  -9.155 -10.054 -10.551 -11.497 -12.044 -12.579 -14.157  -9.547 -10.050 -11.511 -11.448 -11.764 -12.521   0.758   1.082 -12.192 -13.143 -13.984   1.792
41.33   0.30   2.00  -7.977  -9.221  -9.970 -11.074 -11.678 -12.267 -13.958  -8.542  -9.193 -11.090 -11.021 -11.370 -12.204   0.834   1.193 -11.847 -12.887 -13.771   1.924
41.52   0.30   5.00  -6.408  -8.025  -9.033 -10.240 -10.889 -11.540 -13.457  -7.171  -7.953 -10.257 -10.185 -10.558 -11.472   0.914   1.300 -11.087 -12.273 -13.233   2.145
41.74   0.30  10.00  -5.306  -7.116  -8.210  -9.441 -10.102 -10.772 -12.770  -6.182  -7.024  -9.459  -9.386  -9.765 -10.703   0.939   1.332 -10.311 -11.548 -12.531   2.220
41.91   0.30  15.00  -4.566  -6.514  -7.630  -8.858  -9.520 -10.196 -12.230  -5.526  -6.411  -8.877  -8.804  -9.182 -10.126   0.944   1.337  -9.732 -10.989 -11.980   2.247
