 pcol   Z      age    B-Rj     U-V      B-V      V-R      V-I      V-J      V-K      J-K      J-L
30.23 0.00534  1.00   0.6348   0.4075   0.3344   0.3003   0.5788   0.9360   1.4127   0.4767   0.5397
30.33 0.00534  2.00   1.2049   0.8107   0.6722   0.5327   0.9824   1.5194   2.1952   0.6758   0.7589
30.52 0.00534  5.00   1.4909   1.0850   0.8435   0.6474   1.2023   1.8450   2.6488   0.8039   0.9077
30.74 0.00534 10.00   1.4993   1.1331   0.8606   0.6387   1.1705   1.7815   2.5388   0.7573   0.8570
30.91 0.00534 15.00   1.4684   1.0830   0.8251   0.6433   1.1950   1.8316   2.6260   0.7943   0.9039
40.23 0.01690  1.00   1.2816   0.9920   0.7184   0.5632   1.0330   1.6315   2.3359   0.7044   0.7909
40.33 0.01690  2.00   1.6253   1.3834   0.9451   0.6802   1.2368   1.9140   2.6919   0.7779   0.8754
40.52 0.01690  5.00   1.8121   1.6899   1.0614   0.7507   1.3931   2.1548   3.0127   0.8579   0.9712
40.74 0.01690 10.00   1.8519   1.7877   1.0866   0.7653   1.4416   2.2537   3.1468   0.8931   1.0163
40.91 0.01690 15.00   1.8753   1.8393   1.0997   0.7756   1.4595   2.2722   3.1678   0.8956   1.0206
41.23 0.03372  1.00   1.6082   1.4431   0.9344   0.6738   1.2234   1.9026   2.6470   0.7443   0.8413
41.33 0.03372  2.00   1.8349   1.8515   1.0915   0.7434   1.3520   2.0834   2.8715   0.7881   0.8929
41.52 0.03372  5.00   1.9947   2.2084   1.1929   0.8018   1.4929   2.3315   3.2015   0.8700   0.9889
41.74 0.03372 10.00   2.0344   2.3161   1.2163   0.8181   1.5367   2.4146   3.3111   0.8964   1.0210
41.91 0.03372 15.00   2.0338   2.3348   1.2142   0.8195   1.5462   2.4423   3.3498   0.9075   1.0344
