( Z, Y, Age) = 0.005344   0.243   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.1653E+06   5.218
 12.50  0.0000E+00   0.000     16.50  0.0000E+00   0.000     12.50  0.1444E+06   5.160
 12.25  0.0000E+00   0.000     16.25  0.0000E+00   0.000     12.25  0.1770E+05   4.248
 12.00  0.0000E+00   0.000     16.00  0.0000E+00   0.000     12.00  0.1742E+06   5.241
 11.75  0.7314E+05   4.864     15.75  0.0000E+00   0.000     11.75  0.0000E+00   0.000
 11.50  0.2184E+06   5.339     15.50  0.0000E+00   0.000     11.50  0.1092E+06   5.038
 11.25  0.2718E+06   5.434     15.25  0.0000E+00   0.000     11.25  0.6157E+05   4.789
 11.00  0.3736E+06   5.572     15.00  0.0000E+00   0.000     11.00  0.8419E+05   4.925
 10.75  0.8035E+05   4.905     14.75  0.0000E+00   0.000     10.75  0.7303E+05   4.864
 10.50  0.2493E+06   5.397     14.50  0.0000E+00   0.000     10.50  0.3965E+05   4.598
 10.25  0.1645E+06   5.216     14.25  0.5947E+05   4.774     10.25  0.2414E+05   4.383
 10.00  0.1274E+06   5.105     14.00  0.1667E+06   5.222     10.00  0.4246E+05   4.628
  9.75  0.1169E+06   5.068     13.75  0.3372E+06   5.528      9.75  0.2948E+05   4.469
  9.50  0.9650E+05   4.985     13.50  0.1980E+06   5.297      9.50  0.2475E+05   4.394
  9.25  0.8872E+05   4.948     13.25  0.2560E+06   5.408      9.25  0.2058E+05   4.313
  9.00  0.3314E+05   4.520     13.00  0.0000E+00   0.000      9.00  0.1807E+05   4.257
  8.75  0.5656E+05   4.753     12.75  0.4530E+05   4.656      8.75  0.1670E+05   4.223
  8.50  0.3765E+05   4.576     12.50  0.2644E+06   5.422      8.50  0.1528E+05   4.184
  8.25  0.3021E+05   4.480     12.25  0.0000E+00   0.000      8.25  0.1212E+05   4.084
  8.00  0.2593E+05   4.414     12.00  0.1348E+06   5.130      8.00  0.1101E+05   4.042
  7.75  0.2269E+05   4.356     11.75  0.5715E+05   4.757      7.75  0.1128E+05   4.052
  7.50  0.2018E+05   4.305     11.50  0.5460E+05   4.737      7.50  0.1213E+05   4.084
  7.25  0.1710E+05   4.233     11.25  0.8838E+05   4.946      7.25  0.9823E+04   3.992
  7.00  0.1634E+05   4.213     11.00  0.8891E+05   4.949      7.00  0.9528E+04   3.979
  6.75  0.1445E+05   4.160     10.75  0.6168E+05   4.790      6.75  0.9618E+04   3.983
  6.50  0.1398E+05   4.145     10.50  0.7410E+05   4.870      6.50  0.1207E+05   4.082
  6.25  0.1329E+05   4.124     10.25  0.6083E+04   3.784      6.25  0.1071E+05   4.030
  6.00  0.1379E+05   4.140     10.00  0.5094E+05   4.707      6.00  0.9876E+04   3.995
  5.75  0.1082E+05   4.034      9.75  0.3011E+05   4.479      5.75  0.9288E+04   3.968
  5.50  0.1160E+05   4.064      9.50  0.2520E+05   4.401      5.50  0.9677E+04   3.986
  5.25  0.8788E+04   3.944      9.25  0.2203E+05   4.343      5.25  0.7348E+04   3.866
  5.00  0.8597E+04   3.934      9.00  0.1929E+05   4.285      5.00  0.8710E+04   3.940
  4.75  0.8907E+04   3.950      8.75  0.1721E+05   4.236      4.75  0.8022E+04   3.904
  4.50  0.8083E+04   3.908      8.50  0.1488E+05   4.173      4.50  0.7364E+04   3.867
  4.25  0.7455E+04   3.872      8.25  0.1382E+05   4.140      4.25  0.7110E+04   3.852
  4.00  0.7062E+04   3.849      8.00  0.1254E+05   4.098      4.00  0.6749E+04   3.829
  3.75  0.7258E+04   3.861      7.75  0.1143E+05   4.058      3.75  0.6519E+04   3.814
  3.50  0.6157E+04   3.789      7.50  0.1201E+05   4.080      3.50  0.6496E+04   3.813
  3.25  0.6487E+04   3.812      7.25  0.8720E+04   3.941      3.25  0.5147E+04   3.712
  3.00  0.5085E+04   3.706      7.00  0.9962E+04   3.998      3.00  0.5002E+04   3.699
  2.75  0.4603E+04   3.663      6.75  0.1082E+05   4.034      2.75  0.4732E+04   3.675
  2.50  0.4868E+04   3.687      6.50  0.1118E+05   4.048      2.50  0.4957E+04   3.695
  2.25  0.4472E+04   3.651      6.25  0.1158E+05   4.064      2.25  0.4688E+04   3.671
  2.00  0.4133E+04   3.616      6.00  0.1007E+05   4.003      2.00  0.4211E+04   3.624
  1.75  0.3755E+04   3.575      5.75  0.9309E+04   3.969      1.75  0.3614E+04   3.558
  1.50  0.3463E+04   3.540      5.50  0.8866E+04   3.948      1.50  0.3131E+04   3.496
  1.25  0.3212E+04   3.507      5.25  0.8652E+04   3.937      1.25  0.2715E+04   3.434
  1.00  0.2683E+04   3.429      5.00  0.8456E+04   3.927      1.00  0.2109E+04   3.324
  0.75  0.8250E+03   2.916      4.75  0.7967E+04   3.901      0.75  0.5631E+03   2.751
  0.50  0.2377E+03   2.376      4.50  0.7728E+04   3.888      0.50  0.1709E+03   2.233
  0.25  0.4397E+02   1.643      4.25  0.7076E+04   3.850      0.25  0.2138E+04   3.330
  0.00  0.1505E+04   3.178      4.00  0.7231E+04   3.859      0.00  0.1696E+03   2.229
 -0.25  0.7696E+03   2.886      3.75  0.6172E+04   3.790     -0.25  0.1198E+03   2.078
 -0.50  0.7488E+02   1.874      3.50  0.6763E+04   3.830     -0.50  0.1155E+03   2.063
 -0.75  0.1193E+03   2.077      3.25  0.5519E+04   3.742     -0.75  0.7690E+02   1.886
 -1.00  0.9096E+02   1.959      3.00  0.4799E+04   3.681     -1.00  0.2728E+02   1.436
 -1.25  0.7068E+02   1.849      2.75  0.5123E+04   3.710     -1.25  0.2120E+02   1.326
 -1.50  0.3195E+02   1.504      2.50  0.4917E+04   3.692     -1.50  0.1475E+02   1.169
 -1.75  0.1658E+02   1.220      2.25  0.4794E+04   3.681     -1.75  0.9963E+01   0.998
 -2.00  0.1463E+02   1.165      2.00  0.4274E+04   3.631     -2.00  0.5479E+01   0.739
 -2.25  0.1245E+02   1.095      1.75  0.3655E+04   3.563     -2.25  0.2441E+01   0.387
 -2.50  0.7909E+01   0.898      1.50  0.3126E+04   3.495     -2.50  0.2115E-02  -2.675
 -2.75  0.5646E+01   0.752      1.25  0.2700E+04   3.431     -2.75  0.0000E+00   0.000
 -3.00  0.4814E+01   0.683      1.00  0.2141E+04   3.331     -3.00  0.0000E+00   0.000
 -3.25  0.2918E+01   0.465      0.75  0.6140E+03   2.788     -3.25  0.0000E+00   0.000
 -3.50  0.2065E+01   0.315      0.50  0.1846E+03   2.266     -3.50  0.0000E+00   0.000
 -3.75  0.1871E-02  -2.728      0.25  0.1598E+04   3.204     -3.75  0.0000E+00   0.000
 -4.00  0.0000E+00   0.000      0.00  0.7148E+03   2.854     -4.00  0.0000E+00   0.000
 -4.25  0.0000E+00   0.000     -0.25  0.9639E+02   1.984     -4.25  0.0000E+00   0.000
 -4.50  0.0000E+00   0.000     -0.50  0.1270E+03   2.104     -4.50  0.0000E+00   0.000
 -4.75  0.0000E+00   0.000     -0.75  0.8814E+02   1.945     -4.75  0.0000E+00   0.000
 -5.00  0.0000E+00   0.000     -1.00  0.3940E+02   1.595     -5.00  0.0000E+00   0.000
 -5.25  0.0000E+00   0.000     -1.25  0.1964E+02   1.293     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.1793E+02   1.253     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.1092E+02   1.038     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.7068E+01   0.849     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.2971E+01   0.473     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.6313E+00  -0.200     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.4797E-03  -3.319     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.0000E+00   0.000     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.0000E+00   0.000     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.0000E+00   0.000     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.0000E+00   0.000     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.0000E+00   0.000     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.0000E+00   0.000     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.3251E+06   5.512     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.4237E+06   5.627     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00 -0.1854E+06   0.000     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.8285E+06   5.918     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50 -0.3746E+06   0.000     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.005344   0.243   2.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.3791E+06   5.579
 12.50  0.0000E+00   0.000     16.50  0.0000E+00   0.000     12.50  0.3159E+06   5.500
 12.25  0.0000E+00   0.000     16.25  0.0000E+00   0.000     12.25  0.1770E+05   4.248
 12.00  0.1103E+06   5.042     16.00  0.0000E+00   0.000     12.00  0.1742E+06   5.241
 11.75  0.3258E+06   5.513     15.75  0.0000E+00   0.000     11.75  0.1145E+06   5.059
 11.50  0.5281E+06   5.723     15.50  0.0000E+00   0.000     11.50  0.1994E+06   5.300
 11.25  0.5682E+06   5.754     15.25  0.0000E+00   0.000     11.25  0.1574E+06   5.197
 11.00  0.7034E+06   5.847     15.00  0.0000E+00   0.000     11.00  0.1528E+06   5.184
 10.75  0.1903E+06   5.279     14.75  0.0000E+00   0.000     10.75  0.1665E+06   5.221
 10.50  0.5610E+06   5.749     14.50  0.1170E+06   5.068     10.50  0.6509E+05   4.814
 10.25  0.2381E+06   5.377     14.25  0.2789E+06   5.446     10.25  0.3574E+05   4.553
 10.00  0.2772E+06   5.443     14.00  0.4331E+06   5.637     10.00  0.9790E+05   4.991
  9.75  0.2321E+06   5.366     13.75  0.7034E+06   5.847      9.75  0.5976E+05   4.776
  9.50  0.1972E+06   5.295     13.50  0.3513E+06   5.546      9.50  0.4827E+05   4.684
  9.25  0.1945E+06   5.289     13.25  0.5424E+06   5.734      9.25  0.4120E+05   4.615
  9.00  0.4973E+05   4.697     13.00  0.0000E+00   0.000      9.00  0.3656E+05   4.563
  8.75  0.1170E+06   5.068     12.75  0.1099E+06   5.041      8.75  0.3339E+05   4.524
  8.50  0.7860E+05   4.895     12.50  0.5851E+06   5.767      8.50  0.2984E+05   4.475
  8.25  0.6047E+05   4.782     12.25  0.0000E+00   0.000      8.25  0.2510E+05   4.400
  8.00  0.5161E+05   4.713     12.00  0.1348E+06   5.130      8.00  0.2224E+05   4.347
  7.75  0.4533E+05   4.656     11.75  0.9217E+05   4.965      7.75  0.2215E+05   4.345
  7.50  0.4087E+05   4.611     11.50  0.2242E+06   5.351      7.50  0.2309E+05   4.363
  7.25  0.3285E+05   4.517     11.25  0.1393E+06   5.144      7.25  0.1812E+05   4.258
  7.00  0.3387E+05   4.530     11.00  0.1774E+06   5.249      7.00  0.2108E+05   4.324
  6.75  0.2822E+05   4.450     10.75  0.1427E+06   5.154      6.75  0.2028E+05   4.307
  6.50  0.2824E+05   4.451     10.50  0.1370E+06   5.137      6.50  0.2209E+05   4.344
  6.25  0.2604E+05   4.416     10.25  0.6083E+04   3.784      6.25  0.2128E+05   4.328
  6.00  0.2644E+05   4.422     10.00  0.1019E+06   5.008      6.00  0.1970E+05   4.294
  5.75  0.2279E+05   4.358      9.75  0.6603E+05   4.820      5.75  0.1835E+05   4.264
  5.50  0.2121E+05   4.327      9.50  0.5160E+05   4.713      5.50  0.1824E+05   4.261
  5.25  0.1815E+05   4.259      9.25  0.4382E+05   4.642      5.25  0.1635E+05   4.214
  5.00  0.1813E+05   4.258      9.00  0.3797E+05   4.579      5.00  0.1695E+05   4.229
  4.75  0.1721E+05   4.236      8.75  0.3429E+05   4.535      4.75  0.1557E+05   4.192
  4.50  0.1569E+05   4.196      8.50  0.3131E+05   4.496      4.50  0.1444E+05   4.160
  4.25  0.1466E+05   4.166      8.25  0.2681E+05   4.428      4.25  0.1384E+05   4.141
  4.00  0.1372E+05   4.137      8.00  0.2396E+05   4.379      4.00  0.1297E+05   4.113
  3.75  0.1384E+05   4.141      7.75  0.2271E+05   4.356      3.75  0.1304E+05   4.115
  3.50  0.1208E+05   4.082      7.50  0.2280E+05   4.358      3.50  0.1153E+05   4.062
  3.25  0.1207E+05   4.082      7.25  0.2051E+05   4.312      3.25  0.1137E+05   4.056
