  pcol   Z       age   %lost  Hd/4045  Hd/4063  Sr/4045  Sr/4063   pGband  Hg/4325 4289/271  4384/352 P[Fe/H]   Ca II   3888/859 p(220)/p(209) HgamHR CaIHR 4045HR   HdelHR   LickHdA  LickHdF  Ca4227   G4300    LickHgA  LickHgF  Fe4383   CN_1     CN_2     Hbeta    Fe5015     Mg1     Mg2      Mgb     Fe5270   Fe5335   Fe5406  DBalmer
 30.23 0.00534   1.00000   0.00  0.48118  0.50121  0.89767  0.93505  0.05351  0.63499  0.97842  1.27730  0.95443  0.51657  0.48474  0.98607  1.45812  0.14888  0.11965  1.90760 -0.01580 -0.01159  0.04555  0.37512 -0.97759 -0.08693  0.42221  0.00225  0.00527  1.22187-20.84834 -0.19327 -0.18540  0.05591 -0.37227 -2.83786 -0.02103  1.58129
 30.33 0.00534   2.00000   0.00  0.74736  0.75612  0.96515  0.97646  0.23648  0.80083  0.97665  1.01908  1.05628  0.84070  0.68745  0.99588  1.12629  0.45852  0.30922  1.30409 -0.56112 -0.02178  0.19962  1.37952 -1.81387 -0.32657  1.60096  0.01077  0.02245 -2.27781 -5.51056 -0.12724 -0.04383  0.59073  2.49113 -0.11436  0.31214  1.48222
 30.52 0.00534   5.00000   0.00  0.94155  0.94042  0.99116  0.98997  0.41794  0.93145  0.96538  0.90636  1.11684  1.12309  0.85782  0.99855  0.88954  0.67875  0.45161  0.93458 -0.85684 -0.04245  0.32365  1.90566 -2.30576 -0.45701  2.15723  0.01183  0.02852 -4.32034  0.48430 -0.11420  0.01066  0.90524  4.28963  1.10461  0.52861  1.39256
 30.74 0.00534  10.00000   0.00  0.99829  0.99381  0.99762  0.99314  0.52220  0.98791  0.96071  0.87642  1.12918  1.22827  0.91611  0.99301  0.80794  0.74045  0.49597  0.82099 -1.00246 -0.07124  0.34605  2.13359 -2.40464 -0.51587  2.26925  0.00824  0.02651 -4.07721  1.36094 -0.11627  0.01147  0.85456  4.91236  1.34607  0.51125  1.37809
 30.91 0.00534  15.00000   0.00  0.93668  0.93125  1.00197  0.99616  0.51578  0.94082  0.97714  0.89956  1.11003  1.15755  0.85677  0.98862  0.90292  0.72483  0.48566  0.94371 -1.05253 -0.09291  0.38628  2.29769 -2.40501 -0.55272  2.42397  0.00293  0.02274 -2.55128  0.22155 -0.08458  0.02537  1.13267  4.01526  1.31721  0.72293  1.39510
 40.23 0.01690   1.00000   0.00  0.67452  0.68025  0.96554  0.97373  0.47033  0.77555  0.99776  1.02943  1.05790  0.85408  0.62685  1.02297  1.34716  0.69887  0.47837  1.58966 -1.34958 -0.13031  0.39558  2.83558 -3.08330 -0.87717  3.92824  0.05061  0.07481  1.30269 -6.14985 -0.05589  0.00416  1.70413  1.69060  0.62627  1.20518  1.55572
 40.33 0.01690   2.00000   0.00  0.93868  0.91696  1.03185  1.00798  0.97969  0.95777  1.01486  0.85293  1.14333  1.14828  0.87756  1.06181  1.13910  1.14189  0.79116  1.20375 -2.45760 -0.24314  0.69435  4.56560 -4.68145 -1.39776  5.97678  0.08445  0.12639  0.25815  1.74389 -0.00135  0.09861  2.32052  3.35383  2.31371  1.64587  1.45448
 40.52 0.01690   5.00000   0.00  1.09007  1.04795  1.08269  1.04085  1.47078  1.07903  1.04505  0.77487  1.19734  1.24057  1.08188  1.08098  1.06914  1.45187  1.01723  1.11988 -3.15825 -0.30907  0.94798  5.64660 -5.76685 -1.77847  7.20517  0.10392  0.15844 -0.56365  4.28926  0.01851  0.14163  2.72728  4.06734  2.93726  1.83868  1.40407
 40.74 0.01690  10.00000   0.00  1.15850  1.11043  1.10930  1.06327  1.64775  1.12778  1.06663  0.75081  1.21923  1.25509  1.21932  1.08343  1.03023  1.55674  1.10947  1.08697 -3.36709 -0.31200  1.02049  5.93478 -6.00281 -1.85437  7.44709  0.10475  0.16261 -1.32306  5.08526  0.01934  0.15206  2.79939  4.26834  3.08851  1.81055  1.38883
 40.91 0.01690  15.00000   0.00  1.19759  1.14428  1.13083  1.08049  1.71631  1.15173  1.08079  0.74071  1.23065  1.25139  1.29529  1.07801  1.00800  1.62598  1.16811  1.08131 -3.46043 -0.29532  1.08904  6.03163 -6.09338 -1.89502  7.56524  0.09982  0.15957 -1.81482  5.47160  0.02496  0.16334  2.91645  4.33655  3.17767  1.79843  1.38376
