 extinction:   0.   HB life, lum:    1.05000  0.
 pcol      Ux    Bx      B       V      Rc      Ic     J       H       K       L      Lprime    M       U-B     B-V    V-R    V-I    V-J     V-H     V-K    V-L     V-Lprime    V-M
30.23   1.164   1.062   1.071   0.635   0.308  -0.170  -1.306  -2.041  -2.247  -2.412  -2.570  -2.649   0.102   0.436   0.327   0.805   1.941   2.676   2.881   3.047   3.205   3.284
30.33   1.404   1.307   1.321   0.660   0.210  -0.342  -1.359  -2.098  -2.273  -2.442  -2.539  -2.563   0.097   0.661   0.449   1.001   2.019   2.758   2.932   3.101   3.198   3.223
30.52   1.550   1.366   1.384   0.571   0.063  -0.502  -1.315  -2.022  -2.139  -2.285  -2.283  -2.209   0.185   0.813   0.509   1.073   1.886   2.593   2.710   2.856   2.854   2.780
30.74   1.747   1.470   1.491   0.608   0.070  -0.517  -1.350  -2.062  -2.181  -2.329  -2.328  -2.260   0.277   0.883   0.538   1.125   1.958   2.670   2.789   2.937   2.936   2.868
30.99   1.806   1.484   1.505   0.612   0.063  -0.524  -1.355  -2.064  -2.182  -2.330  -2.329  -2.250   0.323   0.893   0.549   1.136   1.967   2.676   2.794   2.942   2.941   2.861
40.23   1.253   1.132   1.144   0.594   0.225  -0.259  -1.312  -2.041  -2.245  -2.417  -2.465  -2.515   0.121   0.550   0.369   0.854   1.907   2.635   2.839   3.011   3.059   3.109
40.33   1.590   1.407   1.425   0.664   0.187  -0.357  -1.388  -2.131  -2.299  -2.459  -2.498  -2.485   0.183   0.760   0.478   1.021   2.053   2.795   2.964   3.124   3.162   3.149
40.52   2.029   1.644   1.668   0.739   0.187  -0.410  -1.438  -2.190  -2.339  -2.498  -2.521  -2.480   0.385   0.928   0.552   1.150   2.178   2.929   3.079   3.238   3.260   3.219
40.74   2.294   1.771   1.798   0.790   0.201  -0.418  -1.466  -2.223  -2.372  -2.532  -2.556  -2.511   0.523   1.008   0.589   1.208   2.257   3.013   3.162   3.322   3.346   3.301
40.99   2.563   1.898   1.927   0.851   0.228  -0.413  -1.495  -2.257  -2.412  -2.575  -2.606  -2.566   0.664   1.076   0.623   1.264   2.346   3.108   3.263   3.426   3.456   3.417
91.99   1.442   1.214   1.232   0.528   0.104  -0.338  -1.359  -2.020  -2.236  -2.390  -2.460  -2.475   0.228   0.704   0.424   0.866   1.886   2.548   2.764   2.918   2.987   3.003
91.99   1.986   1.574   1.597   0.706   0.182  -0.376  -1.453  -2.165  -2.349  -2.506  -2.551  -2.514   0.412   0.891   0.524   1.082   2.159   2.871   3.055   3.212   3.257   3.220
91.99   2.577   1.895   1.923   0.881   0.285  -0.339  -1.529  -2.279  -2.467  -2.627  -2.673  -2.639   0.682   1.042   0.596   1.219   2.410   3.160   3.348   3.508   3.554   3.519
91.99   2.910   2.045   2.075   0.960   0.330  -0.321  -1.562  -2.323  -2.518  -2.682  -2.742  -2.716   0.865   1.115   0.630   1.281   2.522   3.283   3.478   3.642   3.702   3.676
91.99   3.194   2.153   2.186   1.013   0.355  -0.316  -1.581  -2.345  -2.542  -2.710  -2.775  -2.754   1.041   1.173   0.657   1.328   2.593   3.358   3.555   3.722   3.787   3.766
