pcol   Z        age    Mu       Mb       Mv       Mr       Mi       Mj       Mh       Mk       Ml       Mlp      Mm       Mg2      Vb-Ib    Rb-Ib    B-V      R-I      V-I      V-K     KzUbar   KzBbar   KzVbar   KzR_Jbar KzI_Jbar KzJbar   KzHbar   KzKbar   336W     439W     555W     675W     702W     785LP    368M     413M     492M     547M     648M     718M     875M     284W     tonryU   tonryB   tonryV   tonryR   tonryI   RG695v   RG9r     RG780i   RG850    RG1000  sq750    sq800    sq850    sq900    160W     300W     336W     546W     555W     606W     814W (555-814)ord (555-814)SBF (V-I)SBF Kp_bar H-K     H-Kp    STIS_LPbar  NIC_110wbar  NIC_160Wbar
91.99 0.00337  1.00   1.7082   1.1549   1.1857  -0.4964  -1.8472  -3.6403  -5.8352  -7.1837  -7.4728  -7.7315  -7.7694   0.0745   3.0328   1.3507   0.4771   0.4653   0.8114   2.3971  -7.9346  -7.5085   1.6587   1.1354  -0.5285  -2.2983  -4.1654  -5.8368  -7.4630  -7.6925   1.7482   1.2667  -0.4336  -2.0362  -2.3355  -4.3290   1.6034   1.6026   0.3385  -0.4691  -1.8723  -2.5569  -4.2740   2.0072   1.7148   1.0871  -0.4656  -1.9119  -3.8299  -3.6712  -3.8569  -4.1967  -4.4957  -4.7738   4.9433   4.4785  -2.9578  -3.6029  -4.1018  -4.3929   1.0557   1.9610   1.7758   0.7910  -0.7201   3.0328  -0.5096   0.1334   0.1500  -0.4027  -1.1386  -3.4388
91.99 0.00337  2.00   2.2002   1.2852   1.3251  -0.3772  -1.4768  -2.9707  -5.1144  -6.4283  -6.7358  -7.0031  -7.0570   0.0993   2.8018   1.0995   0.6758   0.5249   0.9678   2.6006  -7.2668  -6.7622   2.1346   1.2736  -0.4104  -1.8386  -3.4782  -5.1120  -6.7119  -6.9521   2.3054   1.4306  -0.3207  -1.6329  -1.8605  -3.6359   2.0309   1.9516   0.3697  -0.3561  -1.4989  -2.0558  -3.5697   2.6546   2.2135   1.1865  -0.3534  -1.5299  -3.1595  -3.0118  -3.1803  -3.5031  -3.8014  -4.0863   5.4098   4.8094  -2.3759  -2.9349  -3.4033  -3.6980  -0.3529   2.6135   2.3463   0.9541  -2.6992   2.8018  -0.3929   0.1259   0.1407  -0.2948  -0.9072  -2.7974
91.99 0.00337  5.01   2.4697   1.5767   1.6134  -0.0104  -1.0678  -2.4634  -4.6089  -5.9127  -6.2260  -6.5024  -6.5658   0.1193   2.6811   1.0573   0.7851   0.5441   1.0299   2.6588  -6.7810  -6.2442   2.3900   1.5622  -0.0435  -1.4057  -2.9666  -4.6043  -6.1933  -6.4446   2.6168   1.7142   0.0422  -1.2155  -1.4238  -3.1223   2.3007   2.1837   0.7242   0.0089  -1.0880  -1.6103  -3.0479   2.3288   2.4902   1.4854   0.0123  -1.1181  -2.6542  -2.5106  -2.6715  -2.9875  -3.2888  -3.5827   5.4816   5.0585  -1.9054  -2.4296  -2.8820  -3.1831  -1.8816   2.5758   2.6437   1.0196  -4.5253   2.6811  -0.0274   0.1202   0.1331   0.0661  -0.5252  -2.3029
91.99 0.00337 10.00   2.6757   1.8385   1.8795   0.2002  -0.8490  -2.1564  -4.0930  -5.3754  -5.6572  -5.9232  -5.9646   0.1349   2.7285   1.0492   0.8488   0.5552   1.0653   2.6781  -6.1330  -5.6862   2.6439   1.8279   0.1671  -1.1763  -2.5957  -4.0978  -5.6405  -5.8800   2.5739   1.9906   0.2531  -0.9991  -1.1952  -2.7268   2.5599   2.5703   0.9448   0.2193  -0.8771  -1.3739  -2.6735   1.7736   2.6917   1.7376   0.2236  -0.8995  -2.3114  -2.1854  -2.3325  -2.6131  -2.8722  -3.1242   6.0923   5.4277  -1.6564  -2.1335  -2.5277  -2.7816  -3.2657   2.2087   2.5693   1.0560  -5.8350   2.7285   0.1835   0.1123   0.1262   0.2772  -0.3144  -2.0046
91.99 0.00337 17.38   2.1685   1.7927   1.8268   0.2742  -0.7502  -1.9188  -3.5033  -4.7378  -4.9416  -5.1606  -5.1749   0.1540   2.5771   1.0244   0.8844   0.5528   1.0759   2.6442  -5.1855  -4.9852   2.1543   1.7763   0.2406  -1.0603  -2.2592  -3.5233  -4.9552  -5.1415   1.9519   1.9254   0.3260  -0.9044  -1.0807  -2.3468   2.1124   2.3689   0.9922   0.2930  -0.7899  -1.2507  -2.3236   0.7210   2.1906   1.7115   0.2973  -0.8012  -2.0220  -1.9242  -2.0472  -2.2673  -2.4550  -2.6367   5.5311   5.2495  -1.5123  -1.9135  -2.2079  -2.3878  -3.7651   1.2812   1.9181   1.0681  -5.6832   2.5771   0.2584   0.1011   0.1157   0.3497  -0.2312  -1.7848
30.23 0.00673  1.00   1.9503   1.5538   1.5776   0.2586  -0.9151  -2.9283  -5.9037  -7.2031  -7.5783  -7.8413  -7.9557   0.0862   2.4928   1.1737   0.5211   0.4745   0.8297   2.5723  -8.1625  -7.5739   1.9045   1.5284   0.2245  -1.3823  -3.7190  -5.8750  -7.5269  -7.7544   1.9629   1.6301   0.3113  -1.0621  -1.4046  -3.9596   1.8743   1.8965   0.9037   0.2785  -0.9080  -1.6339  -3.7702   2.1409   1.9574   1.4890   0.2824  -0.9703  -3.2951  -3.0720  -3.2881  -3.7369  -4.1977  -4.6677   5.1562   4.7829  -2.0626  -2.8546  -3.5170  -4.0173   0.4766   2.1163   1.9805   0.8121  -1.5040   2.4928   0.2446   0.1633   0.1730   0.3364  -0.2650  -2.7331
30.33 0.00673  2.00   2.5013   1.7474   1.7840   0.1842  -0.8461  -2.2732  -5.2029  -6.4292  -6.8269  -7.0803  -7.2982   0.1289   2.6301   1.0304   0.7286   0.5360   0.9983   2.8004  -7.5717  -6.7640   2.4449   1.7332   0.1514  -1.1767  -2.9779  -5.1476  -6.7183  -6.9485   2.5180   1.8746   0.2348  -0.9833  -1.1916  -3.1916   2.3715   2.3548   0.9015   0.2011  -0.8681  -1.3719  -2.9768   2.2494   2.5183   1.6453   0.2060  -0.8943  -2.5973  -2.4085  -2.5815  -2.9742  -3.4163  -3.9220   5.6578   5.2319  -1.6660  -2.2278  -2.7429  -3.2239  -1.8293   2.4684   2.5330   0.9861  -4.3623   2.6301   0.1641   0.1510   0.1525   0.2576  -0.3159  -2.1325
30.52 0.00673  5.01   2.7639   2.1241   2.1558   0.6546  -0.3774  -1.8294  -4.7763  -5.9779  -6.3870  -6.6574  -6.9120   0.1533   2.5332   1.0319   0.8219   0.5630   1.0637   2.8698  -7.1980  -6.2964   2.6875   2.1054   0.6213  -0.7204  -2.5194  -4.7086  -6.2509  -6.5106   2.9230   2.2437   0.7038  -0.5154  -0.7364  -2.7276   2.6362   2.6365   1.3543   0.6712  -0.4011  -0.9116  -2.5124   2.4355   2.7880   2.0405   0.6771  -0.4259  -2.1421  -1.9558  -2.1273  -2.5125  -2.9477  -3.4641   5.6892   5.5384  -1.2217  -1.7871  -2.2849  -2.7524  -2.8226   2.7430   2.9387   1.0512  -5.7613   2.5332   0.6361   0.1459   0.1456   0.7264   0.1584  -1.6836
30.74 0.00673 10.00   2.9462   2.3762   2.4151   0.8131  -0.2147  -1.6531  -4.3893  -5.5776  -5.9691  -6.2493  -6.4864   0.1824   2.6298   1.0278   0.9064   0.5950   1.1323   2.9659  -6.7714  -5.8873   2.9446   2.3639   0.7798  -0.5577  -2.2824  -4.3291  -5.8428  -6.1122   2.6681   2.5169   0.8628  -0.3501  -0.5730  -2.4735   2.9054   3.0810   1.5292   0.8297  -0.2366  -0.7439  -2.2972   1.3551   2.9667   2.2738   0.8360  -0.2625  -1.9258  -1.7526  -1.9206  -2.2820  -2.6769  -3.1414   6.4252   5.9579  -1.0555  -1.6140  -2.0925  -2.5049  -4.0619   1.9499   2.6274   1.1182  -6.6892   2.6298   0.7949   0.1415   0.1448   0.8855   0.3183  -1.5005
30.97 0.00673 17.38   2.1276   2.3115   2.3373   0.9914   0.0151  -1.4216  -3.7040  -4.9440  -5.2643  -5.5455  -5.6056   0.1989   2.3221   0.9763   0.9421   0.6055   1.1569   2.9410  -5.8241  -5.2819   2.1420   2.2879   0.9573  -0.3232  -1.9784  -3.6956  -5.2316  -5.4847   1.7560   2.4180   1.0387  -0.1139  -0.3361  -2.1507   2.1534   2.7161   1.6373   1.0069  -0.0026  -0.5068  -2.0444   0.1071   2.1571   2.2468   1.0126  -0.0308  -1.6477  -1.4891  -1.6585  -1.9958  -2.3331  -2.6719   5.4822   5.6285  -0.8162  -1.3808  -1.8645  -2.2094  -3.9893   0.7926   1.6900   1.1410  -5.6793   2.3221   0.9747   0.1291   0.1441   1.0601   0.5283  -1.2585
