 pcol  [Fe/H]  Age    F284W   U       B       V      R       I       K       300w    336w    547m    555w    606w    814w   606W-814W  V-I  STIS_LP NIC_110 NIC_160 LP-160w
91.99  -0.70   1.00 -10.156 -10.504 -10.594 -11.071 -11.417 -11.882 -13.468 -10.295 -10.513 -11.077 -11.035 -11.228 -11.826   0.598   0.811 -11.546 -12.386 -13.239   1.693
91.99  -0.70   2.00  -9.096  -9.622  -9.700 -10.376 -10.819 -11.344 -12.977  -9.323  -9.659 -10.385 -10.330 -10.584 -11.284   0.700   0.968 -10.965 -11.881 -12.756   1.791
91.99  -0.70   5.01  -7.876  -8.608  -8.728  -9.513  -9.999 -10.543 -12.172  -8.196  -8.637  -9.523  -9.463  -9.744 -10.482   0.738   1.030 -10.150 -11.084 -11.959   1.809
91.99  -0.70  10.00  -7.003  -7.883  -8.071  -8.920  -9.430  -9.985 -11.598  -7.388  -7.892  -8.930  -8.868  -9.164  -9.924   0.760   1.065  -9.583 -10.521 -11.395   1.812
91.99  -0.70  17.38  -6.337  -7.323  -7.565  -8.450  -8.973  -9.526 -11.094  -6.766  -7.309  -8.461  -8.397  -8.702  -9.465   0.763   1.076  -9.123 -10.043 -10.905   1.782
30.23  -0.40   1.00  -9.867 -10.304 -10.418 -10.939 -11.294 -11.769 -13.512 -10.049 -10.322 -10.947 -10.902 -11.101 -11.714   0.613   0.830 -11.432 -12.361 -13.245   1.813
30.33  -0.40   2.00  -8.658  -9.314  -9.429 -10.158 -10.620 -11.156 -12.958  -8.951  -9.358 -10.168 -10.112 -10.376 -11.098   0.722   0.998 -10.776 -11.785 -12.703   1.927
30.52  -0.40   5.01  -7.405  -8.249  -8.440  -9.262  -9.763 -10.326 -12.132  -7.785  -8.280  -9.274  -9.213  -9.501 -10.265   0.764   1.064  -9.926 -10.959 -11.882   1.955
30.74  -0.40  10.00  -6.478  -7.493  -7.802  -8.708  -9.246  -9.840 -11.674  -6.936  -7.502  -8.720  -8.657  -8.966  -9.775   0.810   1.132  -9.420 -10.488 -11.428   2.009
30.97  -0.40  17.38  -5.740  -6.856  -7.239  -8.181  -8.732  -9.338 -11.122  -6.243  -6.850  -8.194  -8.129  -8.446  -9.270   0.825   1.157  -8.908  -9.960 -10.894   1.986
40.23   0.00   1.00  -9.359  -9.974 -10.111 -10.739 -11.136 -11.602 -13.579  -9.635 -10.014 -10.748 -10.698 -10.924 -11.556   0.631   0.863 -11.277 -12.329 -13.263   1.986
40.33   0.00   2.00  -8.142  -8.951  -9.146  -9.937 -10.424 -10.971 -12.989  -8.516  -8.996  -9.948  -9.891 -10.168 -10.914   0.745   1.034 -10.589 -11.720 -12.691   2.102
40.52   0.00   5.01  -6.674  -7.711  -8.092  -9.027  -9.577 -10.176 -12.272  -7.163  -7.744  -9.041  -8.979  -9.291 -10.114   0.823   1.148  -9.762 -10.975 -11.973   2.210
40.74   0.00  10.00  -5.717  -6.893  -7.391  -8.391  -8.968  -9.583 -11.705  -6.279  -6.918  -8.406  -8.342  -8.670  -9.521   0.851   1.192  -9.160 -10.400 -11.408   2.248
40.97   0.00  17.38  -4.900  -6.212  -6.843  -7.907  -8.512  -9.146 -11.241  -5.529  -6.222  -7.924  -7.857  -8.201  -9.082   0.880   1.239  -8.710  -9.952 -10.965   2.254
50.23   0.40   1.00  -8.602  -9.460  -9.728 -10.492 -10.947 -11.410 -13.566  -8.993  -9.488 -10.504 -10.449 -10.711 -11.365   0.654   0.919 -11.083 -12.203 -13.166   2.083
50.33   0.40   2.00  -7.287  -8.333  -8.780  -9.710 -10.254 -10.842 -13.391  -7.776  -8.360  -9.725  -9.663  -9.971 -10.785   0.813   1.132 -10.446 -11.858 -12.939   2.494
50.52   0.40   5.01  -5.651  -6.960  -7.671  -8.737  -9.339  -9.967 -12.396  -6.271  -6.964  -8.755  -8.688  -9.029  -9.906   0.877   1.231  -9.544 -10.945 -12.010   2.467
50.74   0.40  10.00  -4.479  -6.014  -6.923  -8.069  -8.709  -9.362 -11.738  -5.210  -5.980  -8.090  -8.020  -8.382  -9.298   0.916   1.293  -8.922 -10.325 -11.386   2.464
50.97   0.40  17.38  -3.727  -5.344  -6.371  -7.553  -8.207  -8.861 -11.129  -4.478  -5.269  -7.575  -7.504  -7.874  -8.797   0.922   1.308  -8.418  -9.774 -10.814   2.396
