 pcol   Z      age    B-Rj     U-V      B-V      V-R      V-I      V-J      V-K      J-K      J-L
91.99 0.00337  1.00   0.9209   0.5710   0.4705   0.4504   0.9309   1.5494   2.3748   0.8253   0.9430
91.99 0.00337  2.00   1.2316   0.7631   0.6676   0.5640   1.0976   1.7517   2.5793   0.8276   0.9415
91.99 0.00337  5.01   1.3892   0.9139   0.7761   0.6132   1.1617   1.8208   2.6389   0.8181   0.9280
91.99 0.00337 10.00   1.4803   1.0432   0.8391   0.6412   1.1960   1.8516   2.6617   0.8101   0.9151
91.99 0.00337 17.38   1.5294   1.1304   0.8743   0.6551   1.2011   1.8403   2.6318   0.7914   0.8880
30.23 0.00673  1.00   0.9745   0.6408   0.5142   0.4603   0.9738   1.6748   2.5383   0.8635   0.9896
30.33 0.00673  2.00   1.3053   0.8540   0.7200   0.5853   1.1525   1.8949   2.7619   0.8670   0.9863
30.52 0.00673  5.01   1.4437   1.0228   0.8125   0.6312   1.2197   1.9674   2.8318   0.8644   0.9855
30.74 0.00673 10.00   1.5718   1.2225   0.8960   0.6758   1.2941   2.0557   2.9321   0.8764   0.9991
30.97 0.00673 17.38   1.6238   1.3301   0.9312   0.6926   1.3143   2.0503   2.9197   0.8694   0.9878
40.23 0.01690  1.00   1.1235   0.7734   0.6201   0.5033   1.0331   1.8839   2.7859   0.9020   1.0276
40.33 0.01690  2.00   1.3948   0.9961   0.7817   0.6131   1.2127   2.0861   2.9945   0.9084   1.0392
40.52 0.01690  5.01   1.6124   1.3266   0.9248   0.6876   1.3449   2.2607   3.1861   0.9254   1.0654
40.74 0.01690 10.00   1.7077   1.5084   0.9883   0.7194   1.3952   2.3254   3.2561   0.9307   1.0696
40.97 0.01690 17.38   1.8051   1.7027   1.0521   0.7530   1.4428   2.3599   3.2900   0.9300   1.0561
50.23 0.04245  1.00   1.3195   1.0390   0.7556   0.5639   1.0848   2.0364   2.9636   0.9272   1.0819
50.33 0.04245  2.00   1.5976   1.3857   0.9196   0.6780   1.3634   2.5166   3.5501   1.0335   1.2298
50.52 0.04245  5.01   1.7998   1.7822   1.0529   0.7469   1.4654   2.5664   3.5633   0.9969   1.1654
50.74 0.04245 10.00   1.9236   2.0551   1.1327   0.7909   1.5305   2.6103   3.5901   0.9798   1.1338
50.97 0.04245 17.38   1.9742   2.2026   1.1677   0.8066   1.5375   2.5652   3.5179   0.9527   1.0880
