( Z, Y, Age) = 0.003372   0.237   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.0000E+00   0.000
 12.50  0.0000E+00   0.000     16.50  0.0000E+00   0.000     12.50  0.0000E+00   0.000
 12.25  0.0000E+00   0.000     16.25  0.0000E+00   0.000     12.25  0.0000E+00   0.000
 12.00  0.0000E+00   0.000     16.00  0.0000E+00   0.000     12.00  0.0000E+00   0.000
 11.75  0.0000E+00   0.000     15.75  0.0000E+00   0.000     11.75  0.0000E+00   0.000
 11.50  0.0000E+00   0.000     15.50  0.0000E+00   0.000     11.50  0.0000E+00   0.000
 11.25  0.0000E+00   0.000     15.25  0.0000E+00   0.000     11.25  0.0000E+00   0.000
 11.00  0.0000E+00   0.000     15.00  0.0000E+00   0.000     11.00  0.0000E+00   0.000
 10.75  0.0000E+00   0.000     14.75  0.0000E+00   0.000     10.75  0.0000E+00   0.000
 10.50  0.0000E+00   0.000     14.50  0.0000E+00   0.000     10.50  0.0000E+00   0.000
 10.25  0.0000E+00   0.000     14.25  0.0000E+00   0.000     10.25  0.0000E+00   0.000
 10.00  0.0000E+00   0.000     14.00  0.0000E+00   0.000     10.00  0.0000E+00   0.000
  9.75  0.0000E+00   0.000     13.75  0.0000E+00   0.000      9.75  0.0000E+00   0.000
  9.50  0.0000E+00   0.000     13.50  0.0000E+00   0.000      9.50  0.0000E+00   0.000
  9.25  0.0000E+00   0.000     13.25  0.0000E+00   0.000      9.25  0.0000E+00   0.000
  9.00  0.0000E+00   0.000     13.00  0.0000E+00   0.000      9.00  0.0000E+00   0.000
  8.75  0.0000E+00   0.000     12.75  0.0000E+00   0.000      8.75  0.0000E+00   0.000
  8.50  0.0000E+00   0.000     12.50  0.0000E+00   0.000      8.50  0.0000E+00   0.000
  8.25  0.0000E+00   0.000     12.25  0.0000E+00   0.000      8.25  0.0000E+00   0.000
  8.00  0.0000E+00   0.000     12.00  0.0000E+00   0.000      8.00  0.4996E+04   3.699
  7.75  0.0000E+00   0.000     11.75  0.0000E+00   0.000      7.75  0.1131E+05   4.053
  7.50  0.6785E+03   2.832     11.50  0.0000E+00   0.000      7.50  0.1100E+05   4.041
  7.25  0.1004E+05   4.002     11.25  0.0000E+00   0.000      7.25  0.1029E+05   4.012
  7.00  0.1554E+05   4.192     11.00  0.0000E+00   0.000      7.00  0.1010E+05   4.004
  6.75  0.1362E+05   4.134     10.75  0.0000E+00   0.000      6.75  0.9909E+04   3.996
  6.50  0.1377E+05   4.139     10.50  0.0000E+00   0.000      6.50  0.9665E+04   3.985
  6.25  0.1207E+05   4.082     10.25  0.0000E+00   0.000      6.25  0.9208E+04   3.964
  6.00  0.1061E+05   4.026     10.00  0.0000E+00   0.000      6.00  0.1063E+05   4.026
  5.75  0.1180E+05   4.072      9.75  0.0000E+00   0.000      5.75  0.8640E+04   3.937
  5.50  0.9746E+04   3.989      9.50  0.0000E+00   0.000      5.50  0.9256E+04   3.966
  5.25  0.9331E+04   3.970      9.25  0.0000E+00   0.000      5.25  0.8011E+04   3.904
  5.00  0.8868E+04   3.948      9.00  0.0000E+00   0.000      5.00  0.8166E+04   3.912
  4.75  0.7664E+04   3.884      8.75  0.0000E+00   0.000      4.75  0.7317E+04   3.864
  4.50  0.7667E+04   3.885      8.50  0.0000E+00   0.000      4.50  0.6884E+04   3.838
  4.25  0.6944E+04   3.842      8.25  0.0000E+00   0.000      4.25  0.6572E+04   3.818
  4.00  0.6566E+04   3.817      8.00  0.3353E+04   3.525      4.00  0.5989E+04   3.777
  3.75  0.5981E+04   3.777      7.75  0.9479E+04   3.977      3.75  0.5808E+04   3.764
  3.50  0.6106E+04   3.786      7.50  0.1112E+05   4.046      3.50  0.5112E+04   3.709
  3.25  0.4878E+04   3.688      7.25  0.1054E+05   4.023      3.25  0.5187E+04   3.715
  3.00  0.5347E+04   3.728      7.00  0.1107E+05   4.044      3.00  0.5428E+04   3.735
  2.75  0.5502E+04   3.741      6.75  0.9908E+04   3.996      2.75  0.4652E+04   3.668
  2.50  0.4375E+04   3.641      6.50  0.9875E+04   3.995      2.50  0.4924E+04   3.692
  2.25  0.4675E+04   3.670      6.25  0.9391E+04   3.973      2.25  0.4734E+04   3.675
  2.00  0.3720E+04   3.571      6.00  0.9360E+04   3.971      2.00  0.3766E+04   3.576
  1.75  0.4152E+04   3.618      5.75  0.1035E+05   4.015      1.75  0.3327E+04   3.522
  1.50  0.3162E+04   3.500      5.50  0.8185E+04   3.913      1.50  0.3509E+04   3.545
  1.25  0.3357E+04   3.526      5.25  0.9316E+04   3.969      1.25  0.2732E+04   3.436
  1.00  0.2156E+04   3.334      5.00  0.7493E+04   3.875      1.00  0.3291E+04   3.517
  0.75  0.2048E+04   3.311      4.75  0.7985E+04   3.902      0.75  0.2177E+04   3.338
  0.50  0.1976E+04   3.296      4.50  0.6684E+04   3.825      0.50  0.1557E+04   3.192
  0.25  0.1555E+04   3.192      4.25  0.6968E+04   3.843      0.25  0.1246E+04   3.096
  0.00  0.1152E+04   3.062      4.00  0.5750E+04   3.760      0.00  0.5242E+03   2.720
 -0.25  0.7998E+03   2.903      3.75  0.6406E+04   3.807     -0.25  0.5819E+02   1.765
 -0.50  0.5731E+02   1.758      3.50  0.4966E+04   3.696     -0.50  0.1504E+03   2.177
 -0.75  0.7144E+02   1.854      3.25  0.5241E+04   3.719     -0.75  0.2630E+03   2.420
 -1.00  0.1781E+03   2.251      3.00  0.5490E+04   3.740     -1.00  0.4666E+02   1.669
 -1.25  0.2130E+03   2.328      2.75  0.4766E+04   3.678     -1.25  0.2511E+02   1.400
 -1.50  0.4207E+02   1.624      2.50  0.5204E+04   3.716     -1.50  0.1720E+02   1.236
 -1.75  0.2284E+02   1.359      2.25  0.4619E+04   3.665     -1.75  0.1429E+02   1.155
 -2.00  0.1335E+02   1.125      2.00  0.3930E+04   3.594     -2.00  0.9420E+01   0.974
 -2.25  0.1098E+02   1.041      1.75  0.3321E+04   3.521     -2.25  0.1468E+02   1.167
 -2.50  0.7883E+01   0.897      1.50  0.3405E+04   3.532     -2.50  0.9073E+01   0.958
