 extinction:   0.   HB life, lum:    1.05000  0.
 pcol      Ux    Bx      B       V      Rc      Ic     J       H       K       L      Lprime    M       U-B     B-V    V-R    V-I    V-J     V-H     V-K    V-L     V-Lprime    V-M
30.74   1.660   1.418   1.438   0.571   0.042  -0.526  -1.329  -2.026  -2.139  -2.283  -2.281  -2.170   0.243   0.868   0.529   1.097   1.900   2.596   2.710   2.853   2.852   2.740
30.99   1.885   1.551   1.574   0.649   0.087  -0.520  -1.372  -2.096  -2.219  -2.372  -2.373  -2.290   0.333   0.925   0.561   1.169   2.020   2.744   2.867   3.020   3.022   2.938
40.23   1.154   0.998   1.012   0.421   0.031  -0.426  -1.190  -1.829  -1.945  -2.091  -2.087  -2.021   0.156   0.590   0.390   0.848   1.611   2.250   2.367   2.512   2.509   2.443
40.33   1.739   1.472   1.492   0.651   0.128  -0.449  -1.370  -2.108  -2.230  -2.384  -2.383  -2.281   0.267   0.841   0.523   1.100   2.021   2.759   2.881   3.035   3.033   2.931
40.52   2.046   1.676   1.700   0.774   0.213  -0.421  -1.435  -2.202  -2.344  -2.509  -2.515  -2.464   0.370   0.926   0.561   1.194   2.209   2.975   3.118   3.282   3.289   3.238
40.74   2.397   1.898   1.924   0.920   0.318  -0.370  -1.492  -2.291  -2.451  -2.626  -2.637  -2.610   0.499   1.004   0.602   1.290   2.412   3.211   3.370   3.545   3.557   3.529
40.99   2.716   2.090   2.118   1.052   0.417  -0.311  -1.539  -2.361  -2.537  -2.718  -2.742  -2.738   0.626   1.066   0.635   1.363   2.591   3.413   3.589   3.770   3.794   3.790
91.99   1.565   1.310   1.328   0.583   0.118  -0.393  -1.360  -2.037  -2.200  -2.360  -2.366  -2.292   0.255   0.745   0.465   0.976   1.943   2.620   2.783   2.943   2.950   2.875
91.99   2.230   1.752   1.776   0.835   0.276  -0.351  -1.490  -2.231  -2.412  -2.582  -2.597  -2.557   0.478   0.941   0.560   1.186   2.326   3.067   3.248   3.417   3.432   3.392
91.99   2.845   2.129   2.158   1.087   0.463  -0.244  -1.577  -2.367  -2.571  -2.748  -2.776  -2.764   0.716   1.071   0.624   1.331   2.664   3.455   3.658   3.835   3.864   3.851
91.99   3.262   2.385   2.416   1.281   0.623  -0.130  -1.632  -2.454  -2.680  -2.860  -2.909  -2.924   0.877   1.135   0.658   1.411   2.913   3.735   3.961   4.141   4.190   4.205
91.99   3.640   2.595   2.628   1.436   0.748  -0.041  -1.672  -2.513  -2.756  -2.940  -3.012  -3.047   1.045   1.192   0.687   1.477   3.108   3.948   4.192   4.376   4.447   4.482
