 pcol  [Fe/H]  Age    F284W   U       B       V      R       I       K       300w    336w    547m    555w    606w    814w   606W-814W  V-I  STIS_LP NIC_110 NIC_160 LP-160w
30.74  -0.53  10.00  -6.937  -7.832  -8.054  -8.922  -9.451 -10.019 -11.632  -7.333  -7.846  -8.934  -8.871  -9.177  -9.955   0.778   1.097  -9.607 -10.554 -11.429   1.821
30.99  -0.53  17.78  -6.138  -7.186  -7.497  -8.422  -8.983  -9.591 -11.289  -6.602  -7.175  -8.435  -8.370  -8.693  -9.521   0.829   1.169  -9.155 -10.163 -11.073   1.918
40.23   0.00   1.00  -9.304  -9.826  -9.969 -10.559 -10.949 -11.406 -12.925  -9.536  -9.865 -10.568 -10.521 -10.741 -11.354   0.613   0.848 -11.074 -11.915 -12.724   1.650
40.33   0.00   2.00  -8.214  -9.006  -9.253 -10.094 -10.617 -11.194 -12.975  -8.578  -9.050 -10.107 -10.047 -10.344 -11.129   0.785   1.100 -10.784 -11.823 -12.757   1.973
40.52   0.00   5.01  -7.031  -8.007  -8.353  -9.279  -9.840 -10.474 -12.397  -7.488  -8.042  -9.293  -9.230  -9.547 -10.403   0.856   1.194 -10.032 -11.177 -12.153   2.121
40.74   0.00  10.00  -6.072  -7.203  -7.677  -8.681  -9.283  -9.971 -12.052  -6.608  -7.227  -8.696  -8.631  -8.968  -9.896   0.928   1.290  -9.501 -10.762 -11.785   2.283
40.99   0.00  17.78  -5.176  -6.476  -7.074  -8.139  -8.774  -9.503 -11.729  -5.800  -6.484  -8.157  -8.089  -8.442  -9.427   0.984   1.363  -9.015 -10.379 -11.439   2.424
91.99   0.37   1.00  -8.571  -9.341  -9.578 -10.323 -10.788 -11.299 -13.106  -8.922  -9.378 -10.335 -10.281 -10.543 -11.244   0.701   0.976 -10.938 -11.963 -12.854   1.916
91.99   0.37   2.00  -7.330  -8.366  -8.820  -9.761 -10.320 -10.947 -13.009  -7.812  -8.391  -9.776  -9.713 -10.028 -10.881   0.854   1.186 -10.518 -11.749 -12.729   2.211
91.99   0.37   5.01  -6.020  -7.282  -7.969  -9.040  -9.664 -10.371 -12.698  -6.615  -7.286  -9.058  -8.990  -9.338 -10.301   0.962   1.331  -9.904 -11.330 -12.387   2.483
91.99   0.37  10.00  -4.994  -6.459  -7.305  -8.441  -9.099  -9.852 -12.401  -5.692  -6.435  -8.461  -8.390  -8.755  -9.781   1.026   1.411  -9.368 -10.946 -12.060   2.692
91.99   0.37  17.78  -3.934  -5.682  -6.694  -7.887  -8.574  -9.364 -12.079  -4.782  -5.610  -7.909  -7.836  -8.215  -9.291   1.076   1.477  -8.867 -10.561 -11.712   2.845
