 pcol   Z      age    B-Rj     U-V      B-V      V-R      V-I      V-J      V-K      J-K      J-L
30.74 0.00499 10.00   1.5204   1.0967   0.8575   0.6629   1.2283   1.8830   2.6953   0.8123   0.9202
30.99 0.00499 17.78   1.6189   1.2398   0.9145   0.7044   1.3110   2.0028   2.8521   0.8493   0.9665
40.23 0.01690  1.00   1.0773   0.7405   0.5828   0.4944   0.9694   1.5909   2.3507   0.7599   0.8704
40.33 0.01690  2.00   1.4873   1.0979   0.8318   0.6556   1.2568   2.0022   2.8644   0.8622   0.9817
40.52 0.01690  5.01   1.6213   1.2819   0.9153   0.7060   1.3745   2.1876   3.0976   0.9101   1.0391
40.74 0.01690 10.00   1.7516   1.4866   0.9927   0.7589   1.4977   2.3889   3.3464   0.9575   1.0973
40.99 0.01690 17.78   1.8544   1.6704   1.0533   0.8011   1.5978   2.5652   3.5582   0.9930   1.1391
91.99 0.03962  1.00   1.3180   0.9889   0.7362   0.5818   1.1389   1.9195   2.7610   0.8416   0.9653
91.99 0.03962  2.00   1.6325   1.4024   0.9304   0.7021   1.3925   2.2999   3.2228   0.9229   1.0559
91.99 0.03962  5.01   1.8435   1.7623   1.0586   0.7849   1.5852   2.6347   3.6269   0.9922   1.1325
91.99 0.03962 10.00   1.9512   1.9821   1.1223   0.8289   1.7031   2.8773   3.9187   1.0414   1.1839
91.99 0.03962 17.78   2.0452   2.1983   1.1785   0.8667   1.7970   3.0658   4.1369   1.0711   1.2185
