( Z, Y, Age) = 0.004988   0.242  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.2751E+06   5.439
 12.50  0.9890E+05   4.995     16.50  0.0000E+00   0.000     12.50  0.4091E+04   3.612
 12.25  0.1953E+06   5.291     16.25  0.0000E+00   0.000     12.25  0.1740E+05   4.241
 12.00  0.1686E+06   5.227     16.00  0.1633E+05   4.213     12.00  0.1160E+06   5.065
 11.75  0.2204E+06   5.343     15.75  0.1324E+06   5.122     11.75  0.6604E+05   4.820
 11.50  0.1929E+06   5.285     15.50  0.1325E+06   5.122     11.50  0.9326E+05   4.970
 11.25  0.2178E+06   5.338     15.25  0.1314E+06   5.119     11.25  0.8361E+05   4.922
 11.00  0.2206E+06   5.344     15.00  0.1074E+06   5.031     11.00  0.7451E+05   4.872
 10.75  0.1884E+06   5.275     14.75  0.1223E+06   5.087     10.75  0.6592E+05   4.819
 10.50  0.1751E+06   5.243     14.50  0.1356E+06   5.132     10.50  0.5808E+05   4.764
 10.25  0.1713E+06   5.234     14.25  0.1241E+06   5.094     10.25  0.5444E+05   4.736
 10.00  0.1269E+06   5.103     14.00  0.1235E+06   5.092     10.00  0.4259E+05   4.629
  9.75  0.1087E+06   5.036     13.75  0.1174E+06   5.070      9.75  0.3587E+05   4.555
  9.50  0.9223E+05   4.965     13.50  0.1186E+06   5.074      9.50  0.3016E+05   4.479
  9.25  0.7722E+05   4.888     13.25  0.1516E+06   5.181      9.25  0.2532E+05   4.403
  9.00  0.6682E+05   4.825     13.00  0.6903E+05   4.839      9.00  0.2141E+05   4.331
  8.75  0.5462E+05   4.737     12.75  0.7985E+05   4.902      8.75  0.1940E+05   4.288
  8.50  0.4131E+05   4.616     12.50  0.7657E+05   4.884      8.50  0.1542E+05   4.188
  8.25  0.3349E+05   4.525     12.25  0.6154E+05   4.789      8.25  0.1293E+05   4.111
  8.00  0.3082E+05   4.489     12.00  0.8643E+05   4.937      8.00  0.1130E+05   4.053
  7.75  0.2222E+05   4.347     11.75  0.6205E+05   4.793      7.75  0.1001E+05   4.001
  7.50  0.2060E+05   4.314     11.50  0.9869E+05   4.994      7.50  0.1042E+05   4.018
  7.25  0.1582E+05   4.199     11.25  0.9074E+05   4.958      7.25  0.8798E+04   3.944
  7.00  0.1418E+05   4.152     11.00  0.8559E+05   4.932      7.00  0.8497E+04   3.929
  6.75  0.1279E+05   4.107     10.75  0.6781E+05   4.831      6.75  0.9191E+04   3.963
  6.50  0.1167E+05   4.067     10.50  0.5933E+05   4.773      6.50  0.7933E+04   3.899
  6.25  0.1078E+05   4.033     10.25  0.5149E+05   4.712      6.25  0.8641E+04   3.937
  6.00  0.1013E+05   4.006     10.00  0.4605E+05   4.663      6.00  0.7507E+04   3.875
  5.75  0.8876E+04   3.948      9.75  0.3886E+05   4.589      5.75  0.7955E+04   3.901
  5.50  0.7837E+04   3.894      9.50  0.3267E+05   4.514      5.50  0.6492E+04   3.812
  5.25  0.7871E+04   3.896      9.25  0.2738E+05   4.437      5.25  0.6871E+04   3.837
  5.00  0.6404E+04   3.806      9.00  0.2307E+05   4.363      5.00  0.5901E+04   3.771
  4.75  0.5631E+04   3.751      8.75  0.1943E+05   4.288      4.75  0.5129E+04   3.710
  4.50  0.5190E+04   3.715      8.50  0.1629E+05   4.212      4.50  0.4592E+04   3.662
  4.25  0.4529E+04   3.656      8.25  0.1456E+05   4.163      4.25  0.3600E+04   3.556
  4.00  0.3591E+04   3.555      8.00  0.1281E+05   4.107      4.00  0.3449E+04   3.538
  3.75  0.2834E+04   3.452      7.75  0.1040E+05   4.017      3.75  0.2776E+04   3.443
  3.50  0.2458E+04   3.391      7.50  0.9435E+04   3.975      3.50  0.2277E+04   3.357
  3.25  0.1400E+04   3.146      7.25  0.9973E+04   3.999      3.25  0.3954E+03   2.597
  3.00  0.3841E+03   2.584      7.00  0.8647E+04   3.937      3.00  0.3032E+03   2.482
  2.75  0.2852E+03   2.455      6.75  0.8809E+04   3.945      2.75  0.2472E+03   2.393
  2.50  0.2722E+03   2.435      6.50  0.8526E+04   3.931      2.50  0.2157E+03   2.334
  2.25  0.1977E+03   2.296      6.25  0.8407E+04   3.925      2.25  0.1762E+03   2.246
  2.00  0.2056E+03   2.313      6.00  0.7828E+04   3.894      2.00  0.1285E+03   2.109
  1.75  0.1289E+03   2.110      5.75  0.7881E+04   3.897      1.75  0.1197E+03   2.078
  1.50  0.1253E+03   2.098      5.50  0.7153E+04   3.855      1.50  0.8822E+02   1.946
  1.25  0.9120E+02   1.960      5.25  0.6243E+04   3.795      1.25  0.7475E+02   1.874
  1.00  0.8485E+02   1.929      5.00  0.6400E+04   3.806      1.00  0.1012E+03   2.005
  0.75  0.6427E+02   1.808      4.75  0.5436E+04   3.735      0.75  0.3300E+03   2.519
  0.50  0.7883E+02   1.897      4.50  0.4671E+04   3.669      0.50  0.2815E+03   2.449
  0.25  0.5703E+03   2.756      4.25  0.3826E+04   3.583      0.25  0.4304E+02   1.634
  0.00  0.5023E+02   1.701      4.00  0.3390E+04   3.530      0.00  0.3557E+02   1.551
 -0.25  0.3562E+02   1.552      3.75  0.2784E+04   3.445     -0.25  0.2974E+02   1.473
 -0.50  0.3400E+02   1.531      3.50  0.2682E+04   3.429     -0.50  0.2537E+02   1.404
 -0.75  0.2629E+02   1.420      3.25  0.5044E+03   2.703     -0.75  0.2048E+02   1.311
 -1.00  0.2262E+02   1.355      3.00  0.3041E+03   2.483     -1.00  0.1679E+02   1.225
 -1.25  0.2023E+02   1.306      2.75  0.2580E+03   2.412     -1.25  0.1419E+02   1.152
 -1.50  0.1555E+02   1.192      2.50  0.2411E+03   2.382     -1.50  0.1856E+02   1.269
 -1.75  0.1403E+02   1.147      2.25  0.1670E+03   2.223     -1.75  0.4334E+01   0.637
 -2.00  0.1182E+02   1.072      2.00  0.1571E+03   2.196     -2.00  0.0000E+00   0.000
 -2.25  0.9551E+01   0.980      1.75  0.1090E+03   2.038     -2.25  0.0000E+00   0.000
 -2.50  0.8571E+01   0.933      1.50  0.9690E+02   1.986     -2.50  0.0000E+00   0.000
 -2.75  0.7374E+01   0.868      1.25  0.8279E+02   1.918     -2.75  0.0000E+00   0.000
 -3.00  0.6088E+01   0.785      1.00  0.7833E+02   1.894     -3.00  0.0000E+00   0.000
 -3.25  0.5453E+01   0.737      0.75  0.2295E+03   2.361     -3.25  0.0000E+00   0.000
 -3.50  0.4810E+01   0.682      0.50  0.4070E+03   2.610     -3.50  0.0000E+00   0.000
 -3.75  0.1427E+01   0.154      0.25  0.4537E+02   1.657     -3.75  0.0000E+00   0.000
 -4.00  0.5434E+00  -0.265      0.00  0.3746E+02   1.574     -4.00  0.0000E+00   0.000
 -4.25  0.4447E+00  -0.352     -0.25  0.3154E+02   1.499     -4.25  0.0000E+00   0.000
 -4.50  0.3527E+00  -0.453     -0.50  0.2619E+02   1.418     -4.50  0.0000E+00   0.000
 -4.75  0.5439E-01  -1.264     -0.75  0.2133E+02   1.329     -4.75  0.0000E+00   0.000
 -5.00  0.0000E+00   0.000     -1.00  0.1794E+02   1.254     -5.00  0.0000E+00   0.000
 -5.25  0.0000E+00   0.000     -1.25  0.1476E+02   1.169     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.1675E+02   1.224     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.1066E+02   1.028     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.2866E-01  -1.543     -6.00  0.0000E+00   0.000
