  pcol   Z       age   %lost  Hd/4045  Hd/4063  Sr/4045  Sr/4063   pGband  Hg/4325 4289/271  4384/352 P[Fe/H]   Ca II   3888/859 p(220)/p(209) HgamHR CaIHR 4045HR   HdelHR   LickHdA  LickHdF  Ca4227   G4300    LickHgA  LickHgF  Fe4383   CN_1     CN_2     Hbeta    Fe5015     Mg1     Mg2      Mgb     Fe5270   Fe5335   Fe5406  DBalmer
 30.74 0.00499  10.00000   0.00  0.95542  0.93993  1.01809  1.00159  0.77544  0.95566  0.98815  0.88523  1.11336  1.15718  0.91339  0.99634  0.92370  0.83390  0.57043  0.96126 -1.24853 -0.04475  0.52968  3.40357 -3.03696 -0.75209  3.41445  0.00521  0.03370 -1.00106  1.09311 -0.03925  0.06125  1.62015  3.63650  1.64527  1.02640  1.38416
 30.99 0.00499  17.78280   0.00  1.01993  1.00821  1.02197  1.01023  0.72803  1.01297  0.98533  0.85816  1.13455  1.21333  0.94728  0.98051  0.80038  0.86209  0.56980  0.82442 -1.23629 -0.12651  0.50000  2.63356 -2.62701 -0.65075  2.69643 -0.00690  0.01670 -3.72469  2.04251 -0.07691  0.05504  1.38241  4.79063  1.83822  0.87868  1.37907
 40.23 0.01690   1.00000   0.00  0.60944  0.62249  0.94193  0.96210  0.26082  0.71170  0.98074  1.09861  1.03098  0.81800  0.58401  0.99919  1.39125  0.49149  0.33257  1.66902 -0.76767 -0.07844  0.23929  1.67960 -2.12640 -0.50569  2.37036  0.02821  0.04224  1.28732-10.39092 -0.10733 -0.06103  1.10149  1.03451 -0.49686  0.76652  1.48704
 40.33 0.01690   1.99530   0.00  0.84504  0.84167  0.99729  0.99331  0.54170  0.87678  0.97893  0.91586  1.10959  1.10881  0.77743  1.01422  1.13941  0.83922  0.56214  1.23344 -1.48241 -0.14024  0.47664  2.74973 -3.25133 -0.87808  3.89218  0.04466  0.07034 -0.53236 -1.10381 -0.05056  0.04915  1.70903  3.21289  1.56384  1.23045  1.43172
 40.52 0.01690   5.01190   0.00  0.96652  0.95764  1.02697  1.01753  0.75175  0.97933  0.98416  0.84605  1.15388  1.21037  0.90358  1.01467  1.01405  1.02422  0.70106  1.08708 -1.77295 -0.14696  0.59652  3.18982 -3.73077 -1.05548  4.38921  0.04837  0.07911 -1.98549  1.47671 -0.05057  0.07695  1.87444  4.28202  2.07479  1.20794  1.40088
 40.74 0.01690  10.00000   0.01  1.05741  1.04117  1.06348  1.04715  1.00870  1.05641  1.01074  0.80094  1.18837  1.23145  1.01181  1.01771  0.95861  1.22393  0.85599  1.04576 -2.15986 -0.15933  0.77842  3.80880 -4.35648 -1.29343  5.19840  0.05392  0.09229 -2.87227  3.20255 -0.03220  0.11216  2.20577  4.65309  2.53320  1.34740  1.38934
 40.99 0.01690  17.78280   0.03  1.13930  1.11045  1.10435  1.07638  1.27327  1.11545  1.04462  0.76999  1.21516  1.23284  1.13047  1.02235  0.93285  1.42637  1.01273  1.04267 -2.56624 -0.16242  0.97132  4.49757 -4.96572 -1.52994  6.04603  0.05898  0.10589 -3.29502  4.49477 -0.00565  0.14792  2.62493  4.68398  2.87092  1.48896  1.37991
 91.99 0.03962   1.00000   0.00  0.73190  0.74315  0.95692  0.97162  0.28936  0.77858  0.95009  0.98102  1.08183  1.11637  0.67908  1.00572  1.26972  0.69005  0.42488  1.40552 -0.98904 -0.10906  0.29850  1.64715 -2.53683 -0.64535  2.84626  0.04106  0.05615 -1.04925 -5.11182 -0.10095 -0.00829  1.32439  2.69112  0.70700  0.88683  1.45536
 91.99 0.03962   1.99530   0.01  0.92084  0.92670  1.01177  1.01821  0.59304  0.91839  0.96555  0.84967  1.16041  1.23084  0.86165  1.02235  1.09324  1.02108  0.66393  1.18745 -1.60981 -0.14257  0.53495  2.57761 -3.62679 -1.02197  4.20658  0.06092  0.08653 -3.50054  0.67698 -0.07275  0.07395  1.88616  4.48665  2.03337  1.13922  1.42347
 91.99 0.03962   5.01190   0.03  1.05528  1.05262  1.07177  1.06907  0.91025  0.99801  1.00945  0.78219  1.21907  1.24596  1.00276  1.03747  1.02693  1.32333  0.89647  1.15002 -2.17837 -0.15775  0.80565  3.42928 -4.62574 -1.37763  5.46218  0.07736  0.11419 -4.66376  3.59145 -0.03505  0.14043  2.53639  4.95018  2.74884  1.38039  1.40103
 91.99 0.03962  10.00000   0.07  1.15010  1.13263  1.12054  1.10352  1.10214  1.02062  1.04158  0.75127  1.25576  1.24924  1.10154  1.04098  1.00137  1.54754  1.06670  1.15966 -2.55997 -0.14102  1.02382  3.94527 -5.22341 -1.59195  6.20594  0.08432  0.12920 -5.14202  5.05125 -0.00914  0.18296  3.11103  4.98997  3.00929  1.45212  1.38734
 91.99 0.03962  17.78280   0.25  1.25795  1.20317  1.18917  1.13738  1.43278  1.04104  1.08221  0.72109  1.28848  1.24602  1.19543  1.04148  1.01381  1.85957  1.29612  1.20782 -3.36918 -0.15823  1.39244  4.95813 -6.27455 -1.95659  7.59538  0.10282  0.16212 -4.23069  6.34185  0.03811  0.23510  3.96833  4.81029  3.33797  1.74118  1.37106
